DISTRICT,CNTYNAME,COUNTY,DACKDTL,DFLCHART,DISTNAME,D_RATING,REGION
'123905,JEFFERSON,'123,TRWS,N,NEDERLAND ISD,A,'05
'079906,FORT BEND,'079,TR,N,NEEDVILLE ISD,A,'04
'019905,BOWIE,'019,TRW,N,NEW BOSTON ISD,A,'08
'046901,COMAL,'046,P,N,NEW BRAUNFELS ISD,A,'13
'170908,MONTGOMERY,'170,TS,N,NEW CANEY ISD,A,'06
'152902,LUBBOCK,'152,AR,N,NEW DEAL ISD,R,'17
'230906,UPSHUR,'230,ATRES,N,NEW DIANA ISD,A,'07
'015805,BEXAR,'015,,Y,NEW FRONTIERS CHARTER SCHOOL,1,'20
'153905,LYNN,'153,ADRS,N,NEW HOME ISD,R,'17
'037908,CHEROKEE,'037,R,N,NEW SUMMERFIELD ISD,A,'07
'236901,WALKER,'236,W,N,NEW WAVERLY ISD,A,'06
'252902,YOUNG,'252,ATS,N,NEWCASTLE ISD,R,'09
'176902,NEWTON,'176,T,N,NEWTON ISD,A,'05
'089903,GONZALES,'089,ARS,N,NIXON-SMILEY CISD,A,'13
'169902,MONTAGUE,'169,,N,NOCONA ISD,A,'09
'062902,DEWITT,'062,TE,N,NORDHEIM ISD,A,'03
'145906,LEON,'145,S,N,NORMANGEE ISD,R,'06
'015910,BEXAR,'015,EW,N,NORTH EAST ISD,A,'20
'101909,HARRIS,'101,R,N,NORTH FOREST ISD,A,'04
'057803,DALLAS,'057,ADPCTREWNS,Y,NORTH HILLS SCHOOL,R,'10
'112906,HOPKINS,'112,,N,NORTH HOPKINS ISD,A,'08
'101834,HARRIS,'101,,Y,NORTH HOUSTON H S FOR BUSINESS,1,'04
'139911,LAMAR,'139,APT,N,NORTH LAMAR ISD,A,'08
'154903,MADISON,'154,TRES,N,NORTH ZULCH ISD,A,'06
'015915,BEXAR,'015,,N,NORTHSIDE ISD,A,'20
'244905,WILBARGER,'244,TRE,N,NORTHSIDE ISD,A,'09
'061911,DENTON,'061,RN,N,NORTHWEST ISD,R,'11
'101848,HARRIS,'101,E,Y,NORTHWEST PREPARATORY,A,'04
'057809,DALLAS,'057,EM,Y,NOVA CHARTER SCHOOL,A,'10
'057827,DALLAS,'057,,Y,NOVA CHARTER SCHOOL (SOUTHEAST),A,'10
'042906,COLEMAN,'042,W,N,NOVICE ISD,A,'15
'069902,EDWARDS,'069,RS,N,NUECES CANYON CISD,A,'15
'235904,VICTORIA,'235,AEWN,N,NURSERY ISD,A,'03
'227804,TRAVIS,'227,DPCTRS,Y,NYOS CHARTER SCHOOL,A,'13
'153903,LYNN,'153,ATRW,N,O'DONNELL ISD,A,'17
'145907,LEON,'145,AW,N,OAKWOOD ISD,A,'06
'205905,SAN PATRICIO,'205,A,N,ODEM-EDROY ISD,A,'02
'084802,GALVESTON,'084,W,Y,ODYSSEY ACADEMY INC,A,'04
'050904,CORYELL,'050,AR,N,OGLESBY ISD,R,'12
'200906,RUNNELS,'200,EW,N,OLFEN ISD,A,'15
'252903,YOUNG,'252,T,N,OLNEY ISD,A,'09
'140905,LAMB,'140,AW,N,OLTON ISD,A,'17
'187910,POLK,'187,,N,ONALASKA ISD,A,'06
'108801,HIDALGO,'108,,Y,ONE STOP MULTISERVICE CHARTER SCHO,1,'01
'125903,JIM WELLS,'125,REW,N,ORANGE GROVE ISD,A,'02
'181905,ORANGE,'181,TE,N,ORANGEFIELD ISD,A,'05
'230903,UPSHUR,'230,TEM,N,ORE CITY ISD,R,'07
'235801,VICTORIA,'235,,Y,OUTREACH WORD ACADEMY,L,'03
'201908,RUSK,'201,T,N,OVERTON ISD,A,'07
'051901,COTTLE,'051,DTRS,N,PADUCAH ISD,A,'17
'104907,HASKELL,'104,TRS,N,PAINT CREEK ISD,A,'14
'048903,CONCHO,'048,W,N,PAINT ROCK ISD,A,'15
'158905,MATAGORDA,'158,AW,N,PALACIOS ISD,A,'03
'001907,ANDERSON,'001,,N,PALESTINE ISD,A,'07
'070910,ELLIS,'070,A,N,PALMER ISD,A,'10
'182906,PALO PINTO,'182,AEM,N,PALO PINTO ISD,R,'11
'090904,GRAY,'090,,N,PAMPA ISD,A,'16
'033902,CARSON,'033,ATW,N,PANHANDLE ISD,A,'16
'183801,PANOLA,'183,,Y,PANOLA CHARTER SCHOOL,2,'07
'042905,COLEMAN,'042,EWS,N,PANTHER CREEK CISD,A,'15
'072801,ERATH,'072,,Y,PARADIGM ACCELERATED SCHOOL,A,'11
'249906,WISE,'249,TEWS,N,PARADISE ISD,R,'11
'139909,LAMAR,'139,,N,PARIS ISD,A,'08
'101917,HARRIS,'101,W,N,PASADENA ISD,A,'04
'071803,EL PASO,'071,,Y,PASO DEL NORTE,1,'19
'063906,DICKENS,'063,ADTREWS,N,PATTON SPRINGS ISD,E,'17
'013902,BEE,'013,AEN,N,PAWNEE ISD,A,'02
'020908,BRAZORIA,'020,TEW,N,PEARLAND ISD,A,'04
'082903,FRIO,'082,A,N,PEARSALL ISD,A,'20
'184908,PARKER,'184,TES,N,PEASTER ISD,R,'11
'195901,REEVES,'195,R,N,PECOS-BARSTOW-TOYAH ISD,A,'18
'057802,DALLAS,'057,,Y,PEGASUS SCHOOL OF LIBERAL ARTS AND,1,'10
'109914,HILL,'109,,N,PENELOPE ISD,L,'12
'119903,JACK,'119,RS,N,PERRIN-WHITT CISD,A,'09
'179901,OCHILTREE,'179,A,N,PERRYTON ISD,A,'16
'095904,HALE,'095,ATRW,N,PETERSBURG ISD,A,'17
'039903,CLAY,'039,TEW,N,PETROLIA ISD,A,'09
'013903,BEE,'013,TR,N,PETTUS ISD,A,'02
'172905,MORRIS,'172,AT,N,PEWITT CISD,A,'08
'227904,TRAVIS,'227,RW,N,PFLUGERVILLE ISD,A,'13
'108909,HIDALGO,'108,PRW,N,PHARR-SAN JUAN-ALAMO ISD,A,'01
'116801,HUNT,'116,N,Y,PHOENIX CHARTER SCHOOL,A,'10
'061903,DENTON,'061,ATR,N,PILOT POINT ISD,A,'11
'092904,GREGG,'092,PCW,N,PINE TREE ISD,A,'07
'003801,ANGELINA,'003,AE,Y,PINEYWOODS COMMUNITY ACADEMY,A,'07
'032902,CAMP,'032,,N,PITTSBURG ISD,A,'08
'251902,YOAKUM,'251,AREWS,N,PLAINS ISD,R,'17
'095905,HALE,'095,RW,N,PLAINVIEW ISD,A,'17
'043910,COLLIN,'043,AES,N,PLANO ISD,A,'10
'019912,BOWIE,'019,PTRWS,N,PLEASANT GROVE ISD,A,'08
'007905,ATASCOSA,'007,,N,PLEASANTON ISD,A,'20
'117904,HUTCHINSON,'117,RWM,N,PLEMONS-STINNETT-PHILLIPS CISD,R,'16
'031909,CAMERON,'031,ARW,N,POINT ISABEL ISD,A,'01
'061906,DENTON,'061,S,N,PONDER ISD,A,'11
'184901,PARKER,'184,,N,POOLVILLE ISD,A,'11
'015801,BEXAR,'015,,Y,POR VIDA ACADEMY,L,'20
'178908,NUECES,'178,DPTREWS,N,PORT ARANSAS ISD,A,'02
'123907,JEFFERSON,'123,R,N,PORT ARTHUR ISD,A,'05
'123908,JEFFERSON,'123,TR,N,PORT NECHES-GROVES ISD,A,'05
'015814,BEXAR,'015,,Y,POSITIVE SOLUTIONS CHARTER SCHOOL,1,'20
'085902,GARZA,'085,AT,N,POST ISD,A,'17
'007906,ATASCOSA,'007,,N,POTEET ISD,A,'20
'247904,WILSON,'247,AREWMS,N,POTH ISD,R,'20
'091913,GRAYSON,'091,ATREWS,N,POTTSBORO ISD,A,'10
'028906,CALDWELL,'028,AR,N,PRAIRIE LEA ISD,A,'13
'169909,MONTAGUE,'169,ATREWMNS,N,PRAIRIE VALLEY ISD,R,'09
'139912,LAMAR,'139,ATEMS,N,PRAIRILAND ISD,R,'08
'125905,JIM WELLS,'125,R,N,PREMONT ISD,A,'02
'189902,PRESIDIO,'189,PR,N,PRESIDIO ISD,A,'18
'167904,MILLS,'167,ATEW,N,PRIDDY ISD,A,'12
'043911,COLLIN,'043,T,N,PRINCETON ISD,A,'10
'098903,HANSFORD,'098,AEMS,N,PRINGLE-MORSE CISD,A,'16
'108910,HIDALGO,'108,R,N,PROGRESO ISD,A,'01
'043912,COLLIN,'043,ATRW,N,PROSPER ISD,A,'10
'099903,HARDEMAN,'099,DR,N,QUANAH ISD,A,'09
'034907,CASS,'034,TR,N,QUEEN CITY ISD,A,'08
'116908,HUNT,'116,,N,QUINLAN ISD,A,'10
'250904,WOOD,'250,TRW,N,QUITMAN ISD,A,'07
'015815,BEXAR,'015,,Y,RADIANCE ACADEMY OF LEARNING,1,'20
'190903,RAINS,'190,T,N,RAINS ISD,A,'07
'054903,CROSBY,'054,A,N,RALLS ISD,A,'17
'066005,DUVAL,'066,,N,RAMIREZ CSD,L,'02
'234801,VAN ZANDT,'234,,Y,RANCH ACADEMY,X,'07
'015906,BEXAR,'015,ATREWS,N,RANDOLPH FIELD ISD,R,'20
'067907,EASTLAND,'067,TEW,N,RANGER ISD,A,'14
'231902,UPTON,'231,RW,N,RANKIN ISD,R,'18
'161802,MCLENNAN,'161,A,Y,RAPOPORT CHARTER SCHOOL,A,'12
'101806,HARRIS,'101,A,Y,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,A,'04
'236801,WALKER,'236,,Y,RAVEN SCHOOL,2,'06
'245903,WILLACY,'245,R,N,RAYMONDVILLE ISD,A,'01
'192901,REAGAN,'192,AW,N,REAGAN COUNTY ISD,A,'18
'019911,BOWIE,'019,AEWMNS,N,RED LICK ISD,E,'08
'070911,ELLIS,'070,R,N,RED OAK ISD,A,'10
'019906,BOWIE,'019,TRES,N,REDWATER ISD,A,'08
'196903,REFUGIO,'196,R,N,REFUGIO ISD,A,'03
'137902,KLEBERG,'137,AWS,N,RICARDO ISD,A,'02
'045903,COLORADO,'045,,N,RICE CISD,A,'03
'175911,NAVARRO,'175,,N,RICE ISD,A,'12
'188801,POTTER,'188,,Y,RICHARD MILBURN ACADEMY (AMARILLO),2,'16
'123804,JEFFERSON,'123,,Y,RICHARD MILBURN ACADEMY (BEAUMONT),1,'05
'068801,ECTOR,'068,,Y,RICHARD MILBURN ACADEMY (ECTOR COU,1,'18
'220812,TARRANT,'220,,Y,RICHARD MILBURN ACADEMY (FORT WORT,1,'11
'165801,MIDLAND,'165,,Y,RICHARD MILBURN ACADEMY (MIDLAND),1,'18
'101854,HARRIS,'101,,Y,RICHARD MILBURN ACADEMY (SUBURBAN,2,'04
'014801,BELL,'014,,Y,RICHARD MILBURN ALTER HIGH SCHOOL,1,'12
'152801,LUBBOCK,'152,,Y,RICHARD MILBURN ALTER HIGH SCHOOL,1,'17
'178804,NUECES,'178,,Y,RICHARD MILBURN ALTER HIGH SCHOOL,1,'02
'093905,GRIMES,'093,R,N,RICHARDS ISD,A,'06
'057916,DALLAS,'057,,N,RICHARDSON ISD,A,'10
'206902,SAN SABA,'206,TRS,N,RICHLAND SPRINGS ISD,A,'15
'161912,MCLENNAN,'161,TWS,N,RIESEL ISD,R,'12
'214901,STARR,'214,PRW,N,RIO GRANDE CITY CISD,A,'01
'031911,CAMERON,'031,AR,N,RIO HONDO ISD,A,'01
'126907,JOHNSON,'126,RW,N,RIO VISTA ISD,A,'11
'101853,HARRIS,'101,,Y,RIPLEY HOUSE CHARTER SCHOOL,R,'04
'152802,LUBBOCK,'152,AEWMN,Y,RISE ACADEMY,A,'17
'067908,EASTLAND,'067,ATREW,N,RISING STAR ISD,A,'14
'188902,POTTER,'188,TR,N,RIVER ROAD ISD,A,'16
'194903,RED RIVER,'194,TREW,N,RIVERCREST ISD,A,'08
'137903,KLEBERG,'137,TR,N,RIVIERA ISD,A,'02
'041902,COKE,'041,ATRE,N,ROBERT LEE ISD,A,'15
'161922,MCLENNAN,'161,AR,N,ROBINSON ISD,A,'12
'178909,NUECES,'178,R,N,ROBSTOWN ISD,A,'02
'076903,FISHER,'076,ADTRWS,N,ROBY CISD,A,'14
'160904,MCCULLOCH,'160,ATEWS,N,ROCHELLE ISD,A,'15
'104902,HASKELL,'104,ARE,N,ROCHESTER COUNTY LINE ISD,A,'14
'166904,MILAM,'166,T,N,ROCKDALE ISD,A,'06
'069901,EDWARDS,'069,A,N,ROCKSPRINGS ISD,A,'15
'199901,ROCKWALL,'199,PEWS,N,ROCKWALL ISD,A,'10
'014907,BELL,'014,ARES,N,ROGERS ISD,A,'12
'214903,STARR,'214,R,N,ROMA ISD,A,'01
'152908,LUBBOCK,'152,RS,N,ROOSEVELT ISD,R,'17
'110905,HOCKLEY,'110,ATRW,N,ROPES ISD,A,'17
'177901,NOLAN,'177,ARES,N,ROSCOE ISD,A,'14
'073905,FALLS,'073,,N,ROSEBUD-LOTT ISD,A,'12
'076904,FISHER,'076,TREW,N,ROTAN ISD,A,'14
'246909,WILLIAMSON,'246,S,N,ROUND ROCK ISD,A,'13
'075908,FAYETTE,'075,DRS,N,ROUND TOP-CARMINE ISD,A,'13
'139908,LAMAR,'139,AS,N,ROXTON ISD,A,'08
'237905,WALLER,'237,TR,N,ROYAL ISD,A,'04
'199902,ROCKWALL,'199,,N,ROYSE CITY ISD,A,'10
'104903,HASKELL,'104,ATRWS,N,RULE ISD,R,'14
'128903,KARNES,'128,R,N,RUNGE ISD,A,'03
'037907,CHEROKEE,'037,,N,RUSK ISD,A,'07
'091914,GRAYSON,'091,TRMS,N,S AND S CISD,A,'10
'232902,UVALDE,'232,R,N,SABINAL ISD,A,'20
'092906,GREGG,'092,TR,N,SABINE ISD,A,'07
'123913,JEFFERSON,'123,TRWS,N,SABINE PASS ISD,A,'05
'169911,MONTAGUE,'169,ATEWM,N,SAINT JO ISD,R,'09
'014908,BELL,'014,AR,N,SALADO ISD,A,'12
'112909,HOPKINS,'112,AWS,N,SALTILLO ISD,A,'08
'074917,FANNIN,'074,EWMS,N,SAM RAYBURN ISD,A,'10
'044904,COLLINGSWORTH,'044,AR,N,SAMNORWOOD ISD,A,'16
'226903,TOM GREEN,'226,,N,SAN ANGELO ISD,A,'15
'015817,BEXAR,'015,,Y,SAN ANTONIO CAN HIGH SCHOOL,1,'20
'015907,BEXAR,'015,R,N,SAN ANTONIO ISD,A,'20
'015824,BEXAR,'015,E,Y,SAN ANTONIO PREPARATORY ACADEMY,A,'20
'015820,BEXAR,'015,,Y,SAN ANTONIO SCHOOL FOR INQUIRY & C,L,'20
'015823,BEXAR,'015,,Y,SAN ANTONIO TECHNOLOGY ACADEMY,2,'20
'203901,SAN AUGUSTINE,'203,R,N,SAN AUGUSTINE ISD,A,'07
'031912,CAMERON,'031,RW,N,SAN BENITO CISD,A,'01
'066902,DUVAL,'066,R,N,SAN DIEGO ISD,A,'02
'071904,EL PASO,'071,AR,N,SAN ELIZARIO ISD,A,'19
'233901,VAL VERDE,'233,,N,SAN FELIPE-DEL RIO CISD,L,'15
'214902,STARR,'214,ATREWM,N,SAN ISIDRO ISD,R,'01
'105902,HAYS,'105,R,N,SAN MARCOS CISD,A,'13
'245904,WILLACY,'245,TRS,N,SAN PERLITA ISD,R,'01
'206901,SAN SABA,'206,R,N,SAN SABA ISD,A,'15
'022903,BREWSTER,'022,AEM,N,SAN VICENTE ISD,A,'18
'058909,DAWSON,'058,ATRENS,N,SANDS CISD,A,'17
'117903,HUTCHINSON,'117,,N,SANFORD ISD,A,'16
'061908,DENTON,'061,T,N,SANGER ISD,A,'11
'042903,COLEMAN,'042,R,N,SANTA ANNA ISD,A,'15
'084909,GALVESTON,'084,TRS,N,SANTA FE ISD,A,'04
'137904,KLEBERG,'137,DR,N,SANTA GERTRUDIS ISD,A,'02
'031913,CAMERON,'031,A,N,SANTA MARIA ISD,A,'01
'031914,CAMERON,'031,ARW,N,SANTA ROSA ISD,A,'01
'182904,PALO PINTO,'182,TW,N,SANTO ISD,A,'11
'074911,FANNIN,'074,TW,N,SAVOY ISD,A,'10
'094902,GUADALUPE,'094,W,N,SCHERTZ-CIBOLO-U CITY ISD,A,'13
'207901,SCHLEICHER,'207,A,N,SCHLEICHER ISD,A,'15
'015806,BEXAR,'015,R,Y,SCHOOL OF EXCELLENCE IN EDUCATION,A,'20
'057821,DALLAS,'057,A,Y,SCHOOL OF LIBERAL ARTS AND SCIENCE,A,'10
'075903,FAYETTE,'075,ATRW,N,SCHULENBURG ISD,R,'13
'129910,KAUFMAN,'129,R,N,SCURRY-ROSSER ISD,A,'10
'083901,GAINES,'083,R,N,SEAGRAVES ISD,A,'17
'008902,AUSTIN,'008,A,N,SEALY ISD,A,'06
'178802,NUECES,'178,AEWMN,Y,SEASHORE LEARNING CTR CHARTER,R,'02
'094901,GUADALUPE,'094,,N,SEGUIN ISD,A,'13
'083903,GAINES,'083,W,N,SEMINOLE ISD,A,'17
'101802,HARRIS,'101,A,Y,SER-NINOS CHARTER SCHOOL,A,'04
'012901,BAYLOR,'012,REWMS,N,SEYMOUR ISD,A,'09
'152909,LUBBOCK,'152,TRWS,N,SHALLOWATER ISD,A,'17
'242902,WHEELER,'242,RS,N,SHAMROCK ISD,A,'16
'108911,HIDALGO,'108,ARW,N,SHARYLAND ISD,A,'01
'015819,BEXAR,'015,,Y,SHEKINAH RADIANCE ACADEMY,1,'20
'210903,SHELBY,'210,,N,SHELBYVILLE ISD,A,'07
'101924,HARRIS,'101,R,N,SHELDON ISD,A,'04
'204904,SAN JACINTO,'204,R,N,SHEPHERD ISD,A,'06
'091906,GRAYSON,'091,P,N,SHERMAN ISD,A,'10
'143903,LAVACA,'143,ATRW,N,SHINER ISD,A,'03
'047905,COMANCHE,'047,AWS,N,SIDNEY ISD,A,'14
'115902,HUDSPETH,'115,ARS,N,SIERRA BLANCA ISD,R,'19
'100904,HARDIN,'100,,N,SILSBEE ISD,A,'05
'023902,BRISCOE,'023,TREWS,N,SILVERTON ISD,R,'16
'019909,BOWIE,'019,,N,SIMMS ISD,A,'08
'205906,SAN PATRICIO,'205,,N,SINTON ISD,A,'02
'049909,COOKE,'049,EWS,N,SIVELLS BEND ISD,R,'11
'013905,BEE,'013,RW,N,SKIDMORE-TYNAN ISD,A,'02
'152903,LUBBOCK,'152,,N,SLATON ISD,A,'17
'249908,WISE,'249,,N,SLIDELL ISD,A,'11
'001909,ANDERSON,'001,ATEW,N,SLOCUM ISD,R,'07
'011904,BASTROP,'011,T,N,SMITHVILLE ISD,A,'13
'110906,HOCKLEY,'110,TS,N,SMYER ISD,A,'17
'026903,BURLESON,'026,A,N,SNOOK ISD,A,'06
'208902,SCURRY,'208,,N,SNYDER ISD,A,'14
'071909,EL PASO,'071,DR,N,SOCORRO ISD,A,'19
'015909,BEXAR,'015,R,N,SOMERSET ISD,A,'20
'026902,BURLESON,'026,R,N,SOMERVILLE ISD,A,'06
'218901,SUTTON,'218,AW,N,SONORA ISD,R,'15
'152803,LUBBOCK,'152,,Y,SOUTH PLAINS,1,'17
'015908,BEXAR,'015,RW,N,SOUTH SAN ANTONIO ISD,A,'20
'031916,CAMERON,'031,DPTREWMS,N,SOUTH TEXAS ISD,R,'01
'085903,GARZA,'085,AS,N,SOUTHLAND ISD,A,'17
'015917,BEXAR,'015,R,N,SOUTHSIDE ISD,A,'20
'015912,BEXAR,'015,DR,N,SOUTHWEST ISD,A,'20
'015807,BEXAR,'015,,Y,SOUTHWEST PREPARATORY SCHOOL,1,'20
'101838,HARRIS,'101,R,Y,SOUTHWEST SCHOOL,A,'04
'140906,LAMB,'140,RN,N,SPADE ISD,A,'17
'098904,HANSFORD,'098,AR,N,SPEARMAN ISD,A,'16
'170907,MONTGOMERY,'170,R,N,SPLENDORA ISD,A,'06
'101920,HARRIS,'101,,N,SPRING BRANCH ISD,A,'04
'117907,HUTCHINSON,'117,EW,N,SPRING CREEK ISD,A,'16
'092907,GREGG,'092,TWS,N,SPRING HILL ISD,A,'07
'101919,HARRIS,'101,,N,SPRING ISD,A,'04
'140907,LAMB,'140,ACTWNS,N,SPRINGLAKE-EARTH ISD,A,'17
'184902,PARKER,'184,,N,SPRINGTOWN ISD,A,'11
'063903,DICKENS,'063,RWS,N,SPUR ISD,R,'17
'229905,TYLER,'229,R,N,SPURGER ISD,A,'05
'057836,DALLAS,'057,AEW,Y,ST ANTHONY SCHOOL,A,'10
'013801,BEE,'013,WS,Y,ST MARY'S ACADEMY CHARTER SCHOOL,A,'02
'079910,FORT BEND,'079,,N,STAFFORD MSD,A,'04
'127906,JONES,'127,,N,STAMFORD ISD,A,'14
'156902,MARTIN,'156,TR,N,STANTON ISD,A,'18
'227814,TRAVIS,'227,DCTREWM,Y,STAR CHARTER SCHOOL,R,'13
'167903,MILLS,'167,,N,STAR ISD,L,'12
'072903,ERATH,'072,RW,N,STEPHENVILLE,A,'11
'216901,STERLING,'216,ATS,N,STERLING CITY ISD,R,'15
'247906,WILSON,'247,REW,N,STOCKDALE ISD,A,'20
'211902,SHERMAN,'211,AT,N,STRATFORD ISD,A,'16
'182905,PALO PINTO,'182,DTW,N,STRAWN ISD,A,'11
'140908,LAMB,'140,RNS,N,SUDAN ISD,R,'17
'112910,HOPKINS,'112,ATREW,N,SULPHUR BLUFF ISD,R,'08
'112901,HOPKINS,'112,PR,N,SULPHUR SPRINGS ISD,A,'08
'110907,HOCKLEY,'110,ATREMS,N,SUNDOWN ISD,R,'17
'057919,DALLAS,'057,AEWMNS,N,SUNNYVALE ISD,R,'10
'171902,MOORE,'171,ATR,N,SUNRAY ISD,A,'16
'020906,BRAZORIA,'020,T,N,SWEENY ISD,A,'04
'143905,LAVACA,'143,AEWMS,N,SWEET HOME ISD,A,'03
'177902,NOLAN,'177,R,N,SWEETWATER ISD,A,'14
'205907,SAN PATRICIO,'205,R,N,TAFT ISD,A,'02
'153904,LYNN,'153,ATR,N,TAHOKA ISD,A,'17
'146907,LIBERTY,'146,,N,TARKINGTON ISD,A,'04
'201910,RUSK,'201,R,N,TATUM ISD,A,'07
'246911,WILLIAMSON,'246,,N,TAYLOR ISD,A,'13
'081904,FREESTONE,'081,R,N,TEAGUE ISD,A,'12
'108802,HIDALGO,'108,,Y,TECHNOLOGY EDUCATION CHARTER HIGH,L,'01
'123803,JEFFERSON,'123,,Y,TEKOA ACADEMY OF ACCELERATED STUDI,A,'05
'014803,BELL,'014,,Y,TEMPLE EDUCATION CENTER,1,'12
'014909,BELL,'014,,N,TEMPLE ISD,A,'12
'210904,SHELBY,'210,,N,TENAHA ISD,A,'07
'022004,BREWSTER,'022,RS,N,TERLINGUA CSD,A,'18
'222901,TERRELL,'222,REWM,N,TERRELL COUNTY ISD,A,'18
'129906,KAUFMAN,'129,,N,TERRELL ISD,A,'10
'019907,BOWIE,'019,W,N,TEXARKANA ISD,A,'08
'084906,GALVESTON,'084,,N,TEXAS CITY ISD,A,'04
'227805,TRAVIS,'227,A,Y,TEXAS EMPOWERMENT ACADEMY,A,'13
'105802,HAYS,'105,,Y,TEXAS PREPARATORY SCHOOL,A,'13
'211901,SHERMAN,'211,RW,N,TEXHOMA ISD,A,'16
'056902,DALLAM,'056,ARWS,N,TEXLINE ISD,A,'16
'220806,TARRANT,'220,,Y,THERESA B LEE ACADEMY,A,'11
'166905,MILAM,'166,ATRS,N,THORNDALE ISD,R,'13
'246912,WILLIAMSON,'246,TRWS,N,THRALL ISD,A,'13
'149902,LIVE OAK,'149,ATR,N,THREE RIVERS ISD,A,'02
'072901,ERATH,'072,AEN,N,THREE WAY ISD,A,'11
'224901,THROCKMORTON,'224,AW,N,THROCKMORTON ISD,A,'09
'158902,MATAGORDA,'158,TR,N,TIDEHAVEN ISD,A,'03
'210905,SHELBY,'210,T,N,TIMPSON ISD,A,'07
'091907,GRAYSON,'091,AEW,N,TIOGA ISD,A,'10
'111903,HOOD,'111,ATREW,N,TOLAR ISD,R,'11
'091918,GRAYSON,'091,TW,N,TOM BEAN ISD,R,'10
'101921,HARRIS,'101,,N,TOMBALL ISD,A,'04
'071908,EL PASO,'071,AR,N,TORNILLO ISD,A,'19
'014802,BELL,'014,,Y,TRANSFORMATIVE CHARTER ACADEMY,1,'12
'220801,TARRANT,'220,ADRE,Y,TREETOPS SCHOOL INTERNATIONAL,A,'11
'221905,TAYLOR,'221,ATW,N,TRENT ISD,A,'14
'074912,FANNIN,'074,ES,N,TRENTON ISD,A,'10
'107907,HENDERSON,'107,TWS,N,TRINIDAD ISD,A,'07
'057813,DALLAS,'057,AW,Y,TRINITY BASIN PREPARATORY,A,'10
'046802,COMAL,'046,,Y,TRINITY CHARTER SCHOOL,1,'13
'228903,TRINITY,'228,,N,TRINITY ISD,A,'06
'212904,SMITH,'212,R,N,TROUP ISD,A,'07
'014910,BELL,'014,TW,N,TROY ISD,R,'12
'219903,SWISHER,'219,,N,TULIA ISD,A,'16
'178912,NUECES,'178,,N,TULOSO-MIDWAY ISD,A,'02
'096905,HALL,'096,AW,N,TURKEY-QUITAQUE ISD,A,'16
'101840,HARRIS,'101,,Y,TWO DIMENSIONS PREPARATORY ACADEMY,L,'04
'212905,SMITH,'212,W,N,TYLER ISD,A,'07
'230908,UPSHUR,'230,ATRM,N,UNION GROVE ISD,A,'07
'230904,UPSHUR,'230,RNS,N,UNION HILL ISD,A,'07
'240903,WEBB,'240,AR,N,UNITED ISD,A,'01
'057808,DALLAS,'057,ATRES,Y,UNIVERSAL ACADEMY,A,'10
'227806,TRAVIS,'227,,Y,UNIVERSITY CHARTER SCHOOL,1,'13
'101807,HARRIS,'101,AEWMN,Y,UNIVERSITY OF HOUSTON CHARTER SCHO,A,'04
'227819,TRAVIS,'227,,Y,UNIVERSITY OF TEXAS ELEMENTARY CHA,X,'13
'232904,UVALDE,'232,DRENS,N,UTOPIA ISD,R,'20
'232903,UVALDE,'232,R,N,UVALDE CISD,A,'20
'122902,JEFF DAVIS,'122,TRES,N,VALENTINE ISD,A,'18
'018904,BOSQUE,'018,ATWS,N,VALLEY MILLS ISD,A,'12
'049903,COOKE,'049,ATREWS,N,VALLEY VIEW ISD,A,'11
'108916,HIDALGO,'108,AR,N,VALLEY VIEW ISD,A,'01
'091908,GRAYSON,'091,TES,N,VAN ALSTYNE ISD,R,'10
'234906,VAN ZANDT,'234,,N,VAN ISD,A,'07
'158906,MATAGORDA,'158,T,N,VAN VLECK ISD,A,'03
'108808,HIDALGO,'108,AEMN,Y,VANGUARD ACADEMY,A,'01
'101814,HARRIS,'101,,Y,VARNETT CHARTER SCHOOL,A,'04
'180902,OLDHAM,'180,ACTEWM,N,VEGA ISD,R,'16
'126908,JOHNSON,'126,,N,VENUS ISD,A,'11
'226908,TOM GREEN,'226,ARW,N,VERIBEST ISD,A,'15
'244903,WILBARGER,'244,,N,VERNON ISD,A,'09
'235902,VICTORIA,'235,,N,VICTORIA ISD,A,'03
'181907,ORANGE,'181,TEW,N,VIDOR ISD,A,'05
'143904,LAVACA,'143,AEWM,N,VYSEHRAD ISD,A,'03
'161801,MCLENNAN,'161,,Y,WACO CHARTER SCHOOL,L,'12
'161914,MCLENNAN,'161,,N,WACO ISD,A,'12
'089905,GONZALES,'089,,N,WAELDER ISD,L,'13
'059902,DEAF SMITH,'059,AEN,N,WALCOTT ISD,E,'16
'226906,TOM GREEN,'226,TRW,N,WALL ISD,A,'15
'237904,WALLER,'237,R,N,WALLER ISD,A,'04
'049908,COOKE,'049,,N,WALNUT BEND ISD,A,'11
'018905,BOSQUE,'018,,N,WALNUT SPRINGS ISD,L,'12
'229904,TYLER,'229,RS,N,WARREN ISD,R,'05
'102903,HARRISON,'102,TR,N,WASKOM ISD,A,'07
'226905,TOM GREEN,'226,TMS,N,WATER VALLEY ISD,R,'15
'070801,ELLIS,'070,R,Y,WAXAHACHIE FAITH FAMILY ACADEMY,A,'10
'070912,ELLIS,'070,A,N,WAXAHACHIE ISD,A,'10
'184903,PARKER,'184,,N,WEATHERFORD ISD,A,'11
