DISTRICT,CNTYNAME,COUNTY,DACKDTL,DFLCHART,DISTNAME,D_RATING,REGION,secs
'112907,HOPKINS,'112,UES,N,MILLER GROVE ISD,A,'08,A
'184904,PARKER,'184,V,N,MILLSAP ISD,A,'11,A
'250903,WOOD,'250,AVWS,N,MINEOLA ISD,A,'07,A
'182903,PALO PINTO,'182,,N,MINERAL WELLS ISD,A,'11,A
'108908,HIDALGO,'108,RW,N,MISSION CISD,A,'01,C
'238902,WARD,'238,,N,MONAHANS-WICKETT-PYOTE ISD,A,'18,A
'169908,MONTAGUE,'169,AE,N,MONTAGUE ISD,A,'09,
'108915,HIDALGO,'108,ANS,N,MONTE ALTO ISD,R,'01,C
'170903,MONTGOMERY,'170,UWS,N,MONTGOMERY ISD,R,'06,A
'161910,MCLENNAN,'161,UVW,N,MOODY ISD,A,'12,A
'209902,SHACKELFORD,'209,UVEW,N,MORAN ISD,A,'14,A
'018903,BOSQUE,'018,ES,N,MORGAN ISD,A,'12,A
'072910,ERATH,'072,AEMNS,N,MORGAN MILL ISD,R,'11,
'040901,COCHRAN,'040,,N,MORTON ISD,A,'17,C
'173901,MOTLEY,'173,ARVN,N,MOTLEY COUNTY ISD,R,'17,A
'143902,LAVACA,'143,AUVEWS,N,MOULTON ISD,R,'03,
'109910,HILL,'109,A,N,MOUNT CALM ISD,A,'12,A
'201907,RUSK,'201,AUVW,N,MOUNT ENTERPRISE ISD,A,'07,A
'225902,TITUS,'225,,N,MOUNT PLEASANT ISD,A,'08,A
'080901,FRANKLIN,'080,,N,MOUNT VERNON ISD,A,'08,A
'049902,COOKE,'049,APUVEWNS,N,MUENSTER ISD,A,'11,B
'009901,BAILEY,'009,U,N,MULESHOE ISD,A,'17,
'167902,MILLS,'167,RUV,N,MULLIN ISD,A,'12,A
'198906,ROBERTSON,'198,AVEW,N,MUMFORD ISD,R,'06,B
'138903,KNOX,'138,AU,N,MUNDAY CISD,A,'09,B
'107908,HENDERSON,'107,AWNS,N,MURCHISON ISD,R,'07,A
'174904,NACOGDOCHES,'174,,N,NACOGDOCHES ISD,A,'07,K
'163903,MEDINA,'163,S,N,NATALIA ISD,A,'20,B
'094903,GUADALUPE,'094,PCRUVE,N,NAVARRO ISD,A,'13,
'093904,GRIMES,'093,,N,NAVASOTA ISD,A,'06,A
'035903,CASTRO,'035,ADRUVEWMNS,N,NAZARETH ISD,R,'16,A
'001906,ANDERSON,'001,W,N,NECHES ISD,R,'07,A
'123905,JEFFERSON,'123,UVWS,N,NEDERLAND ISD,R,'05,
'079906,FORT BEND,'079,RU,N,NEEDVILLE ISD,A,'04,A
'019905,BOWIE,'019,UVE,N,NEW BOSTON ISD,A,'08,B
'046901,COMAL,'046,,N,NEW BRAUNFELS ISD,A,'13,A
'170908,MONTGOMERY,'170,,N,NEW CANEY ISD,A,'06,
'152902,LUBBOCK,'152,ARUVS,N,NEW DEAL ISD,A,'17,A
'230906,UPSHUR,'230,AUVEWS,N,NEW DIANA ISD,R,'07,A
'015805,BEXAR,'015,,Y,NEW FRONTIERS CHARTER SCHOOL,1,'20,A
'153905,LYNN,'153,ADRUVWS,N,NEW HOME ISD,A,'17,C
'037908,CHEROKEE,'037,,N,NEW SUMMERFIELD ISD,A,'07,A
'236901,WALKER,'236,,N,NEW WAVERLY ISD,A,'06,A
'252902,YOUNG,'252,ARUVS,N,NEWCASTLE ISD,R,'09,A
'176902,NEWTON,'176,V,N,NEWTON ISD,A,'05,K
'089903,GONZALES,'089,,N,NIXON-SMILEY CISD,A,'13,A
'169902,MONTAGUE,'169,UV,N,NOCONA ISD,A,'09,A
'062902,DEWITT,'062,AUVE,N,NORDHEIM ISD,A,'03,B
'145906,LEON,'145,UV,N,NORMANGEE ISD,A,'06,
'015910,BEXAR,'015,ES,N,NORTH EAST ISD,A,'20,
'101909,HARRIS,'101,,N,NORTH FOREST ISD,A,'04,H
'057803,DALLAS,'057,ADPCRUVEWS,Y,NORTH HILLS SCHOOL,A,'10,
'112906,HOPKINS,'112,US,N,NORTH HOPKINS ISD,A,'08,B
'101834,HARRIS,'101,,Y,NORTH HOUSTON H S FOR BUSINESS,L,'04,
'139911,LAMAR,'139,VN,N,NORTH LAMAR ISD,A,'08,
'154903,MADISON,'154,S,N,NORTH ZULCH ISD,A,'06,
'015915,BEXAR,'015,UVS,N,NORTHSIDE ISD,A,'20,
'244905,WILBARGER,'244,AV,N,NORTHSIDE ISD,A,'09,
'061911,DENTON,'061,PRUVWS,N,NORTHWEST ISD,A,'11,
'101848,HARRIS,'101,,Y,NORTHWEST PREPARATORY,L,'04,
'057809,DALLAS,'057,,Y,NOVA ACADEMY,A,'10,
'057827,DALLAS,'057,A,Y,NOVA ACADEMY (SOUTHEAST),A,'10,A
'042906,COLEMAN,'042,,N,NOVICE ISD,A,'15,A
'069902,EDWARDS,'069,UVS,N,NUECES CANYON CISD,A,'15,B
'235904,VICTORIA,'235,A,N,NURSERY ISD,A,'03,A
'227804,TRAVIS,'227,RUVWS,Y,NYOS CHARTER SCHOOL,R,'13,A
'153903,LYNN,'153,ARUVW,N,O'DONNELL ISD,A,'17,B
'145907,LEON,'145,AR,N,OAKWOOD ISD,A,'06,
'205905,SAN PATRICIO,'205,AW,N,ODEM-EDROY ISD,A,'02,A
'084802,GALVESTON,'084,,Y,ODYSSEY ACADEMY INC,L,'04,
'050904,CORYELL,'050,VEW,N,OGLESBY ISD,R,'12,B
'200906,RUNNELS,'200,E,N,OLFEN ISD,A,'15,
'252903,YOUNG,'252,RVW,N,OLNEY ISD,R,'09,
'140905,LAMB,'140,RUV,N,OLTON ISD,A,'17,A
'187910,POLK,'187,U,N,ONALASKA ISD,A,'06,A
'108801,HIDALGO,'108,,Y,ONE STOP MULTISERVICE CHARTER SCHO,1,'01,A
'125903,JIM WELLS,'125,U,N,ORANGE GROVE ISD,A,'02,A
'181905,ORANGE,'181,UVS,N,ORANGEFIELD ISD,R,'05,
'230903,UPSHUR,'230,,N,ORE CITY ISD,A,'07,
'235801,VICTORIA,'235,,Y,OUTREACH WORD ACADEMY,L,'03,
'201908,RUSK,'201,V,N,OVERTON ISD,A,'07,A
'051901,COTTLE,'051,,N,PADUCAH ISD,A,'17,B
'104907,HASKELL,'104,AUEWS,N,PAINT CREEK ISD,R,'14,
'048903,CONCHO,'048,UVW,N,PAINT ROCK ISD,A,'15,
'158905,MATAGORDA,'158,UV,N,PALACIOS ISD,R,'03,B
'001907,ANDERSON,'001,,N,PALESTINE ISD,A,'07,C
'070910,ELLIS,'070,AUV,N,PALMER ISD,A,'10,
'182906,PALO PINTO,'182,AEMN,N,PALO PINTO ISD,E,'11,
'090904,GRAY,'090,,N,PAMPA ISD,A,'16,A
'033902,CARSON,'033,AUVEWNS,N,PANHANDLE ISD,R,'16,
'183801,PANOLA,'183,,Y,PANOLA CHARTER SCHOOL,1,'07,G
'042905,COLEMAN,'042,RVEW,N,PANTHER CREEK CISD,R,'15,
'072801,ERATH,'072,,Y,PARADIGM ACCELERATED SCHOOL,1,'11,A
'249906,WISE,'249,RUVEWS,N,PARADISE ISD,R,'11,
'139909,LAMAR,'139,,N,PARIS ISD,A,'08,A
'101917,HARRIS,'101,,N,PASADENA ISD,A,'04,A
'071803,EL PASO,'071,R,Y,PASO DEL NORTE,A,'19,A
'063906,DICKENS,'063,ADVEWMS,N,PATTON SPRINGS ISD,E,'17,
'013902,BEE,'013,AES,N,PAWNEE ISD,A,'02,A
'057838,DALLAS,'057,AEWM,Y,PEAK ACADEMY,A,'10,
'020908,BRAZORIA,'020,ES,N,PEARLAND ISD,A,'04,
'082903,FRIO,'082,,N,PEARSALL ISD,A,'20,A
'184908,PARKER,'184,UVS,N,PEASTER ISD,A,'11,
'195901,REEVES,'195,R,N,PECOS-BARSTOW-TOYAH ISD,A,'18,B
'057802,DALLAS,'057,,Y,PEGASUS SCHOOL OF LIBERAL ARTS AND,1,'10,C
'109914,HILL,'109,AS,N,PENELOPE ISD,A,'12,
'119903,JACK,'119,PRUEWS,N,PERRIN-WHITT CISD,A,'09,
'179901,OCHILTREE,'179,A,N,PERRYTON ISD,A,'16,C
'095904,HALE,'095,ARW,N,PETERSBURG ISD,A,'17,B
'039903,CLAY,'039,VM,N,PETROLIA ISD,R,'09,
'013903,BEE,'013,RV,N,PETTUS ISD,A,'02,A
'172905,MORRIS,'172,AUV,N,PEWITT CISD,A,'08,A
'227904,TRAVIS,'227,,N,PFLUGERVILLE ISD,A,'13,A
'108909,HIDALGO,'108,DRW,N,PHARR-SAN JUAN-ALAMO ISD,A,'01,A
'116801,HUNT,'116,,Y,PHOENIX CHARTER SCHOOL,L,'10,
'061903,DENTON,'061,ARUVWS,N,PILOT POINT ISD,A,'11,
'092904,GREGG,'092,P,N,PINE TREE ISD,A,'07,A
'003801,ANGELINA,'003,S,Y,PINEYWOODS COMMUNITY ACADEMY,A,'07,
'032902,CAMP,'032,,N,PITTSBURG ISD,A,'08,A
'251902,YOAKUM,'251,ADUVEWS,N,PLAINS ISD,R,'17,B
'095905,HALE,'095,,N,PLAINVIEW ISD,A,'17,
'043910,COLLIN,'043,APS,N,PLANO ISD,A,'10,A
'019912,BOWIE,'019,CRUVEW,N,PLEASANT GROVE ISD,A,'08,A
'007905,ATASCOSA,'007,,N,PLEASANTON ISD,A,'20,K
'117904,HUTCHINSON,'117,W,N,PLEMONS-STINNETT-PHILLIPS CISD,A,'16,A
'031909,CAMERON,'031,DRUS,N,POINT ISABEL ISD,A,'01,A
'061906,DENTON,'061,VS,N,PONDER ISD,A,'11,
'184901,PARKER,'184,R,N,POOLVILLE ISD,A,'11,A
'015801,BEXAR,'015,,Y,POR VIDA ACADEMY,1,'20,C
'178908,NUECES,'178,PCUVEMNS,N,PORT ARANSAS ISD,R,'02,
'123907,JEFFERSON,'123,R,N,PORT ARTHUR ISD,A,'05,C
'123908,JEFFERSON,'123,UV,N,PORT NECHES-GROVES ISD,A,'05,A
'015814,BEXAR,'015,,Y,POSITIVE SOLUTIONS CHARTER SCHOOL,1,'20,
'085902,GARZA,'085,P,N,POST ISD,A,'17,A
'007906,ATASCOSA,'007,U,N,POTEET ISD,A,'20,A
'247904,WILSON,'247,AUVEWS,N,POTH ISD,A,'20,A
'091913,GRAYSON,'091,UEWS,N,POTTSBORO ISD,R,'10,
'028906,CALDWELL,'028,RU,N,PRAIRIE LEA ISD,A,'13,
'169909,MONTAGUE,'169,ADUVEWMNS,N,PRAIRIE VALLEY ISD,E,'09,A
'139912,LAMAR,'139,AUVEW,N,PRAIRILAND ISD,R,'08,
'125905,JIM WELLS,'125,U,N,PREMONT ISD,A,'02,B
'189902,PRESIDIO,'189,RV,N,PRESIDIO ISD,A,'18,K
'167904,MILLS,'167,AUVEM,N,PRIDDY ISD,A,'12,
'043911,COLLIN,'043,S,N,PRINCETON ISD,A,'10,A
'098903,HANSFORD,'098,EMNS,N,PRINGLE-MORSE CISD,R,'16,A
'108910,HIDALGO,'108,,N,PROGRESO ISD,A,'01,C
'043912,COLLIN,'043,ACRUVS,N,PROSPER ISD,A,'10,B
'099903,HARDEMAN,'099,,N,QUANAH ISD,L,'09,B
'034907,CASS,'034,AW,N,QUEEN CITY ISD,A,'08,B
'116908,HUNT,'116,,N,QUINLAN ISD,A,'10,A
'250904,WOOD,'250,EW,N,QUITMAN ISD,A,'07,A
'015815,BEXAR,'015,,Y,RADIANCE ACADEMY OF LEARNING,1,'20,A
'190903,RAINS,'190,UVEWS,N,RAINS ISD,A,'07,A
'054903,CROSBY,'054,,N,RALLS ISD,A,'17,B
'066005,DUVAL,'066,E,N,RAMIREZ CSD,A,'02,
'234801,VAN ZANDT,'234,,Y,RANCH ACADEMY,1,'07,
'015906,BEXAR,'015,APCRUVEWN,N,RANDOLPH FIELD ISD,A,'20,A
'067907,EASTLAND,'067,W,N,RANGER ISD,A,'14,A
'231902,UPTON,'231,UVWS,N,RANKIN ISD,A,'18,
'161805,MCLENNAN,'161,E,Y,RAPOPORT ACADEMY PREP SCH,R,'12,
'101806,HARRIS,'101,A,Y,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,A,'04,B
'236801,WALKER,'236,,Y,RAVEN SCHOOL,1,'06,
'245903,WILLACY,'245,R,N,RAYMONDVILLE ISD,A,'01,A
'192901,REAGAN,'192,,N,REAGAN COUNTY ISD,A,'18,A
'019911,BOWIE,'019,AEWMNS,N,RED LICK ISD,E,'08,
'070911,ELLIS,'070,,N,RED OAK ISD,A,'10,
'019906,BOWIE,'019,UVES,N,REDWATER ISD,R,'08,A
'196903,REFUGIO,'196,V,N,REFUGIO ISD,A,'03,A
'137902,KLEBERG,'137,WN,N,RICARDO ISD,R,'02,B
'045903,COLORADO,'045,,N,RICE CISD,L,'03,A
'175911,NAVARRO,'175,VS,N,RICE ISD,A,'12,A
'188801,POTTER,'188,,Y,RICHARD MILBURN ACADEMY (AMARILLO),1,'16,
'123804,JEFFERSON,'123,,Y,RICHARD MILBURN ACADEMY (BEAUMONT),1,'05,A
'068801,ECTOR,'068,,Y,RICHARD MILBURN ACADEMY (ECTOR COU,1,'18,
'220812,TARRANT,'220,,Y,RICHARD MILBURN ACADEMY (FORT WORT,L,'11,
'165801,MIDLAND,'165,,Y,RICHARD MILBURN ACADEMY (MIDLAND),1,'18,
'101854,HARRIS,'101,,Y,RICHARD MILBURN ACADEMY (SUBURBAN,1,'04,
'014801,BELL,'014,,Y,RICHARD MILBURN ALTER HIGH SCHOOL,1,'12,
'152801,LUBBOCK,'152,,Y,RICHARD MILBURN ALTER HIGH SCHOOL,1,'17,
'178804,NUECES,'178,,Y,RICHARD MILBURN ALTER HIGH SCHOOL,1,'02,
'093905,GRIMES,'093,US,N,RICHARDS ISD,A,'06,A
'057916,DALLAS,'057,US,N,RICHARDSON ISD,R,'10,A
'057840,DALLAS,'057,UVES,Y,RICHLAND COLLEGIATE HS OF MATH SCI,E,'10,
'206902,SAN SABA,'206,RS,N,RICHLAND SPRINGS ISD,A,'15,A
'161912,MCLENNAN,'161,UVEW,N,RIESEL ISD,R,'12,B
'214901,STARR,'214,RVWS,N,RIO GRANDE CITY CISD,R,'01,A
'031911,CAMERON,'031,,N,RIO HONDO ISD,A,'01,C
'126907,JOHNSON,'126,AU,N,RIO VISTA ISD,A,'11,A
'101853,HARRIS,'101,AW,Y,RIPLEY HOUSE CHARTER SCHOOL,R,'04,C
'152802,LUBBOCK,'152,AEWMN,Y,RISE ACADEMY,E,'17,
'067908,EASTLAND,'067,UVWM,N,RISING STAR ISD,A,'14,A
'188902,POTTER,'188,UW,N,RIVER ROAD ISD,A,'16,A
'194903,RED RIVER,'194,AUVWS,N,RIVERCREST ISD,R,'08,
'137903,KLEBERG,'137,W,N,RIVIERA ISD,A,'02,B
'041902,COKE,'041,RUVWS,N,ROBERT LEE ISD,A,'15,
'161922,MCLENNAN,'161,UVE,N,ROBINSON ISD,A,'12,
'178909,NUECES,'178,,N,ROBSTOWN ISD,A,'02,A
'076903,FISHER,'076,ADRVWMS,N,ROBY CISD,A,'14,
'160904,MCCULLOCH,'160,AVE,N,ROCHELLE ISD,A,'15,
'166904,MILAM,'166,UV,N,ROCKDALE ISD,A,'06,
'069901,EDWARDS,'069,AU,N,ROCKSPRINGS ISD,A,'15,B
'199901,ROCKWALL,'199,ES,N,ROCKWALL ISD,A,'10,
'014907,BELL,'014,AUVS,N,ROGERS ISD,A,'12,
'214903,STARR,'214,PRV,N,ROMA ISD,A,'01,B
'152908,LUBBOCK,'152,VWS,N,ROOSEVELT ISD,A,'17,A
'110905,HOCKLEY,'110,APRUVWS,N,ROPES ISD,R,'17,
'177901,NOLAN,'177,ARVS,N,ROSCOE ISD,A,'14,A
'073905,FALLS,'073,V,N,ROSEBUD-LOTT ISD,A,'12,B
'076904,FISHER,'076,RUW,N,ROTAN ISD,A,'14,B
'246909,WILLIAMSON,'246,US,N,ROUND ROCK ISD,A,'13,
'075908,FAYETTE,'075,ACUVEMNS,N,ROUND TOP-CARMINE ISD,R,'13,
'139908,LAMAR,'139,AU,N,ROXTON ISD,A,'08,A
'237905,WALLER,'237,,N,ROYAL ISD,A,'04,
'199902,ROCKWALL,'199,V,N,ROYSE CITY ISD,A,'10,A
'104903,HASKELL,'104,DRUES,N,RULE ISD,A,'14,A
'128903,KARNES,'128,RE,N,RUNGE ISD,A,'03,A
'037907,CHEROKEE,'037,V,N,RUSK ISD,A,'07,B
'091914,GRAYSON,'091,VS,N,S AND S CISD,A,'10,
'232902,UVALDE,'232,RV,N,SABINAL ISD,A,'20,B
'092906,GREGG,'092,UVS,N,SABINE ISD,A,'07,B
'123913,JEFFERSON,'123,RUVES,N,SABINE PASS ISD,A,'05,A
'169911,MONTAGUE,'169,AUV,N,SAINT JO ISD,A,'09,
'014908,BELL,'014,RUVW,N,SALADO ISD,A,'12,
'112909,HOPKINS,'112,AUVW,N,SALTILLO ISD,A,'08,B
'074917,FANNIN,'074,AUVEWM,N,SAM RAYBURN ISD,R,'10,A
'044904,COLLINGSWORTH,'044,ARE,N,SAMNORWOOD ISD,A,'16,
'226903,TOM GREEN,'226,,N,SAN ANGELO ISD,A,'15,
'015817,BEXAR,'015,,Y,SAN ANTONIO CAN HIGH SCHOOL,1,'20,A
'015907,BEXAR,'015,,N,SAN ANTONIO ISD,A,'20,
'015824,BEXAR,'015,,Y,SAN ANTONIO PREPARATORY ACADEMY,A,'20,
'015820,BEXAR,'015,,Y,SAN ANTONIO SCHOOL FOR INQUIRY & C,1,'20,A
'015823,BEXAR,'015,,Y,SAN ANTONIO TECHNOLOGY ACADEMY,1,'20,
'203901,SAN AUGUSTINE,'203,,N,SAN AUGUSTINE ISD,A,'07,B
'031912,CAMERON,'031,R,N,SAN BENITO CISD,A,'01,C
'066902,DUVAL,'066,R,N,SAN DIEGO ISD,A,'02,C
'071904,EL PASO,'071,AR,N,SAN ELIZARIO ISD,A,'19,A
'233901,VAL VERDE,'233,,N,SAN FELIPE-DEL RIO CISD,A,'15,A
'214902,STARR,'214,AVEWM,N,SAN ISIDRO ISD,R,'01,
'105902,HAYS,'105,,N,SAN MARCOS CISD,A,'13,
'245904,WILLACY,'245,AS,N,SAN PERLITA ISD,A,'01,B
'206901,SAN SABA,'206,UVS,N,SAN SABA ISD,A,'15,
'022903,BREWSTER,'022,AEMN,N,SAN VICENTE ISD,R,'18,A
'058909,DAWSON,'058,RVWMNS,N,SANDS CISD,R,'17,F
'117903,HUTCHINSON,'117,W,N,SANFORD-FRITCH ISD,A,'16,
'061908,DENTON,'061,UV,N,SANGER ISD,A,'11,
'042903,COLEMAN,'042,AR,N,SANTA ANNA ISD,A,'15,B
'084909,GALVESTON,'084,S,N,SANTA FE ISD,A,'04,
'137904,KLEBERG,'137,RW,N,SANTA GERTRUDIS ISD,A,'02,A
'031913,CAMERON,'031,,N,SANTA MARIA ISD,A,'01,C
'031914,CAMERON,'031,R,N,SANTA ROSA ISD,A,'01,
'182904,PALO PINTO,'182,VS,N,SANTO ISD,A,'11,
'074911,FANNIN,'074,UVEWS,N,SAVOY ISD,A,'10,A
'094902,GUADALUPE,'094,VS,N,SCHERTZ-CIBOLO-U CITY ISD,A,'13,
'207901,SCHLEICHER,'207,ARUW,N,SCHLEICHER ISD,A,'15,C
'015806,BEXAR,'015,,Y,SCHOOL OF EXCELLENCE IN EDUCATION,L,'20,
'057821,DALLAS,'057,,Y,SCHOOL OF LIBERAL ARTS AND SCIENCE,L,'10,
'015827,BEXAR,'015,EWS,Y,SCHOOL OF SCIENCE AND TECHNOLOGY,R,'20,
'075903,FAYETTE,'075,AUVW,N,SCHULENBURG ISD,A,'13,B
'129910,KAUFMAN,'129,UV,N,SCURRY-ROSSER ISD,A,'10,A
'083901,GAINES,'083,U,N,SEAGRAVES ISD,A,'17,B
'008902,AUSTIN,'008,AS,N,SEALY ISD,A,'06,A
'178802,NUECES,'178,AEWMN,Y,SEASHORE LEARNING CTR CHARTER,E,'02,
'094901,GUADALUPE,'094,,N,SEGUIN ISD,A,'13,
'083903,GAINES,'083,VW,N,SEMINOLE ISD,A,'17,B
'101802,HARRIS,'101,AS,Y,SER-NINOS CHARTER SCHOOL,A,'04,A
'012901,BAYLOR,'012,VWS,N,SEYMOUR ISD,A,'09,A
'152909,LUBBOCK,'152,RV,N,SHALLOWATER ISD,A,'17,A
'242902,WHEELER,'242,UVWS,N,SHAMROCK ISD,R,'16,B
'108911,HIDALGO,'108,ARE,N,SHARYLAND ISD,A,'01,A
'015819,BEXAR,'015,,Y,SHEKINAH RADIANCE ACADEMY,1,'20,B
'210903,SHELBY,'210,RUV,N,SHELBYVILLE ISD,A,'07,
'101924,HARRIS,'101,,N,SHELDON ISD,A,'04,C
'204904,SAN JACINTO,'204,,N,SHEPHERD ISD,A,'06,
'091906,GRAYSON,'091,,N,SHERMAN ISD,A,'10,A
'143903,LAVACA,'143,AUVWS,N,SHINER ISD,R,'03,B
'047905,COMANCHE,'047,AWS,N,SIDNEY ISD,A,'14,
'115902,HUDSPETH,'115,ADR,N,SIERRA BLANCA ISD,A,'19,
'100904,HARDIN,'100,,N,SILSBEE ISD,A,'05,L
'023902,BRISCOE,'023,RVEWNS,N,SILVERTON ISD,R,'16,A
'019909,BOWIE,'019,,N,SIMMS ISD,R,'08,A
'205906,SAN PATRICIO,'205,U,N,SINTON ISD,A,'02,C
'049909,COOKE,'049,EWN,N,SIVELLS BEND ISD,A,'11,B
'013905,BEE,'013,RUVW,N,SKIDMORE-TYNAN ISD,A,'02,B
'152903,LUBBOCK,'152,UVS,N,SLATON ISD,A,'17,A
'249908,WISE,'249,RUV,N,SLIDELL ISD,A,'11,A
'001909,ANDERSON,'001,AUVES,N,SLOCUM ISD,A,'07,A
'011904,BASTROP,'011,V,N,SMITHVILLE ISD,A,'13,A
'110906,HOCKLEY,'110,ADRVWS,N,SMYER ISD,A,'17,
'026903,BURLESON,'026,V,N,SNOOK ISD,A,'06,A
'208902,SCURRY,'208,,N,SNYDER ISD,A,'14,A
'071909,EL PASO,'071,R,N,SOCORRO ISD,A,'19,A
'015909,BEXAR,'015,,N,SOMERSET ISD,A,'20,
'026902,BURLESON,'026,,N,SOMERVILLE ISD,A,'06,
'218901,SUTTON,'218,ARUW,N,SONORA ISD,A,'15,A
'152803,LUBBOCK,'152,,Y,SOUTH PLAINS,L,'17,
'015908,BEXAR,'015,,N,SOUTH SAN ANTONIO ISD,A,'20,H
'031916,CAMERON,'031,ADPRUVEWS,N,SOUTH TEXAS ISD,R,'01,A
'085903,GARZA,'085,VS,N,SOUTHLAND ISD,A,'17,A
'015917,BEXAR,'015,,N,SOUTHSIDE ISD,A,'20,
'015912,BEXAR,'015,R,N,SOUTHWEST ISD,A,'20,A
'015807,BEXAR,'015,,Y,SOUTHWEST PREPARATORY SCHOOL,1,'20,C
'101838,HARRIS,'101,,Y,SOUTHWEST SCHOOL,1,'04,A
'098904,HANSFORD,'098,ARW,N,SPEARMAN ISD,A,'16,A
'170907,MONTGOMERY,'170,,N,SPLENDORA ISD,A,'06,
'101920,HARRIS,'101,,N,SPRING BRANCH ISD,A,'04,A
'117907,HUTCHINSON,'117,EN,N,SPRING CREEK ISD,A,'16,
'092907,GREGG,'092,UVW,N,SPRING HILL ISD,A,'07,B
'101919,HARRIS,'101,,N,SPRING ISD,A,'04,
'140907,LAMB,'140,AVWNS,N,SPRINGLAKE-EARTH ISD,R,'17,B
'184902,PARKER,'184,,N,SPRINGTOWN ISD,A,'11,A
'063903,DICKENS,'063,VEW,N,SPUR ISD,R,'17,C
'229905,TYLER,'229,DRUVE,N,SPURGER ISD,A,'05,
'057836,DALLAS,'057,AEWS,Y,ST ANTHONY SCHOOL,A,'10,
'013801,BEE,'013,EMNS,Y,ST MARY'S ACADEMY CHARTER SCHOOL,R,'02,A
'079910,FORT BEND,'079,,N,STAFFORD MSD,A,'04,C
'127906,JONES,'127,RU,N,STAMFORD ISD,A,'14,B
'156902,MARTIN,'156,UV,N,STANTON ISD,A,'18,B
'227814,TRAVIS,'227,DCRUVEWNS,Y,STAR CHARTER SCHOOL,R,'13,B
'167903,MILLS,'167,RUVS,N,STAR ISD,A,'12,A
'072903,ERATH,'072,,N,STEPHENVILLE,A,'11,A
'101859,HARRIS,'101,E,Y,STEPPING STONES CHARTER EL,A,'04,
'216901,STERLING,'216,AV,N,STERLING CITY ISD,A,'15,A
'247906,WILSON,'247,ARUVW,N,STOCKDALE ISD,A,'20,
'211902,SHERMAN,'211,AV,N,STRATFORD ISD,R,'16,A
'182905,PALO PINTO,'182,,N,STRAWN ISD,L,'11,A
'140908,LAMB,'140,UVEWNS,N,SUDAN ISD,R,'17,A
'112910,HOPKINS,'112,AEMS,N,SULPHUR BLUFF ISD,A,'08,
'112901,HOPKINS,'112,P,N,SULPHUR SPRINGS ISD,A,'08,A
'110907,HOCKLEY,'110,AUVEWMS,N,SUNDOWN ISD,R,'17,A
'057919,DALLAS,'057,AEWMNS,N,SUNNYVALE ISD,E,'10,A
'171902,MOORE,'171,ARUV,N,SUNRAY ISD,A,'16,C
'020906,BRAZORIA,'020,UVW,N,SWEENY ISD,A,'04,
'143905,LAVACA,'143,AEWMNS,N,SWEET HOME ISD,E,'03,
'177902,NOLAN,'177,S,N,SWEETWATER ISD,A,'14,
'205907,SAN PATRICIO,'205,R,N,TAFT ISD,A,'02,B
'153904,LYNN,'153,RUV,N,TAHOKA ISD,R,'17,C
'146907,LIBERTY,'146,,N,TARKINGTON ISD,A,'04,A
'201910,RUSK,'201,RV,N,TATUM ISD,R,'07,A
'246911,WILLIAMSON,'246,,N,TAYLOR ISD,A,'13,
'081904,FREESTONE,'081,UV,N,TEAGUE ISD,A,'12,A
'108802,HIDALGO,'108,R,Y,TECHNOLOGY EDUCATION CHARTER HIGH,A,'01,
'123803,JEFFERSON,'123,S,Y,TEKOA ACADEMY OF ACCELERATED STUDI,A,'05,
'014803,BELL,'014,,Y,TEMPLE EDUCATION CENTER,L,'12,A
'014909,BELL,'014,R,N,TEMPLE ISD,A,'12,L
'210904,SHELBY,'210,,N,TENAHA ISD,A,'07,A
'022004,BREWSTER,'022,RUVNS,N,TERLINGUA CSD,A,'18,B
'222901,TERRELL,'222,REW,N,TERRELL COUNTY ISD,A,'18,C
'129906,KAUFMAN,'129,,N,TERRELL ISD,A,'10,A
'019907,BOWIE,'019,,N,TEXARKANA ISD,A,'08,A
'084906,GALVESTON,'084,,N,TEXAS CITY ISD,A,'04,C
'227805,TRAVIS,'227,A,Y,TEXAS EMPOWERMENT ACADEMY,A,'13,B
'105802,HAYS,'105,,Y,TEXAS PREPARATORY SCHOOL,L,'13,
'170801,MONTGOMERY,'170,,Y,TEXAS SERENITY ACADEMY,2,'06,
'211901,SHERMAN,'211,RM,N,TEXHOMA ISD,E,'16,
'056902,DALLAM,'056,ADRUS,N,TEXLINE ISD,A,'16,
'220806,TARRANT,'220,,Y,THERESA B LEE ACADEMY,L,'11,A
'166905,MILAM,'166,RVWS,N,THORNDALE ISD,R,'13,B
'246912,WILLIAMSON,'246,ARUVWNS,N,THRALL ISD,A,'13,A
'149902,LIVE OAK,'149,,N,THREE RIVERS ISD,A,'02,
'072901,ERATH,'072,AE,N,THREE WAY ISD,A,'11,
'224901,THROCKMORTON,'224,ARUW,N,THROCKMORTON ISD,R,'09,
'158902,MATAGORDA,'158,UV,N,TIDEHAVEN ISD,A,'03,A
'210905,SHELBY,'210,UVS,N,TIMPSON ISD,A,'07,A
'091907,GRAYSON,'091,AEWNS,N,TIOGA ISD,R,'10,
'111903,HOOD,'111,ARUEWNS,N,TOLAR ISD,R,'11,A
'091918,GRAYSON,'091,UVEWS,N,TOM BEAN ISD,A,'10,
'101921,HARRIS,'101,S,N,TOMBALL ISD,A,'04,
