DISTRICT,DISTNAME,REGION,DFLCHART,D_RATING,DSUPRATE,DFLYRE,COUNTY,CNTYNAME
'037901,ALTO ISD,'07,N,A,NQ,N,'037,CHEROKEE
'212901,ARP ISD,'07,N,A,NQ,N,'212,SMITH
'107901,ATHENS ISD,'07,N,A,NQ,N,'107,HENDERSON
'183901,BECKVILLE ISD,'07,N,A,NQ,N,'183,PANOLA
'230901,BIG SANDY ISD,'07,N,A,NQ,N,'230,UPSHUR
'203902,BROADDUS ISD,'07,N,A,NQ,N,'203,SAN AUGUSTINE
'107902,BROWNSBORO ISD,'07,N,R,NQ,N,'107,HENDERSON
'212902,BULLARD ISD,'07,N,A,NQ,N,'212,SMITH
'201913,CARLISLE ISD,'07,N,A,NQ,N,'201,RUSK
'183902,CARTHAGE ISD,'07,N,A,NQ,N,'183,PANOLA
'001902,CAYUGA ISD,'07,N,R,NQ,N,'001,ANDERSON
'210901,CENTER ISD,'07,N,A,NQ,N,'210,SHELBY
'174908,CENTRAL HEIGHTS ISD,'07,N,R,NQ,N,'174,NACOGDOCHES
'003907,CENTRAL ISD,'07,N,R,NQ,N,'003,ANGELINA
'212909,CHAPEL HILL ISD,'07,N,A,NQ,N,'212,SMITH
'174901,CHIRENO ISD,'07,N,A,NQ,N,'174,NACOGDOCHES
'107904,CROSS ROADS ISD,'07,N,A,NQ,N,'107,HENDERSON
'174902,CUSHING ISD,'07,N,R,NQ,N,'174,NACOGDOCHES
'003905,DIBOLL ISD,'07,N,A,NQ,N,'003,ANGELINA
'174911,DOUGLASS ISD,'07,N,E,NQ,N,'174,NACOGDOCHES
'234903,EDGEWOOD ISD,'07,N,E,NQ,N,'234,VAN ZANDT
'001903,ELKHART ISD,'07,N,R,NQ,N,'001,ANDERSON
'102906,ELYSIAN FIELDS ISD,'07,N,A,NQ,N,'102,HARRISON
'174910,ETOILE ISD,'07,N,E,NA,N,'174,NACOGDOCHES
'107905,EUSTACE ISD,'07,N,R,NQ,N,'107,HENDERSON
'210906,EXCELSIOR ISD,'07,N,A,NA,N,'210,SHELBY
'001904,FRANKSTON ISD,'07,N,A,NQ,N,'001,ANDERSON
'234909,FRUITVALE ISD,'07,N,A,NQ,N,'234,VAN ZANDT
'174903,GARRISON ISD,'07,N,A,NQ,N,'174,NACOGDOCHES
'183904,GARY ISD,'07,N,R,NQ,N,'183,PANOLA
'230902,GILMER ISD,'07,N,A,NQ,N,'230,UPSHUR
'092901,GLADEWATER ISD,'07,N,A,NQ,N,'092,GREGG
'234904,GRAND SALINE ISD,'07,N,A,NQ,N,'234,VAN ZANDT
'102904,HALLSVILLE ISD,'07,N,R,NQ,N,'102,HARRISON
'102905,HARLETON ISD,'07,N,R,NQ,N,'102,HARRISON
'230905,HARMONY ISD,'07,N,R,NQ,N,'230,UPSHUR
'250902,HAWKINS ISD,'07,N,A,NQ,N,'250,WOOD
'202903,HEMPHILL ISD,'07,N,A,NQ,N,'202,SABINE
'201902,HENDERSON ISD,'07,N,A,NQ,N,'201,RUSK
'003902,HUDSON ISD,'07,N,R,NQ,N,'003,ANGELINA
'003904,HUNTINGTON ISD,'07,N,A,NQ,N,'003,ANGELINA
'037904,JACKSONVILLE ISD,'07,N,A,NQ,N,'037,CHEROKEE
'210902,JOAQUIN ISD,'07,N,A,NQ,N,'210,SHELBY
'102901,KARNACK ISD,'07,N,A,NQ,N,'102,HARRISON
'092902,KILGORE ISD,'07,N,A,NQ,N,'092,GREGG
'107910,LA POYNOR ISD,'07,N,A,NQ,N,'107,HENDERSON
'201903,LANEVILLE ISD,'07,N,A,NQ,N,'201,RUSK
'201904,LEVERETTS CHAPEL ISD,'07,N,A,NQ,N,'201,RUSK
'212903,LINDALE ISD,'07,N,R,NQ,N,'212,SMITH
'092903,LONGVIEW ISD,'07,N,A,NQ,P,'092,GREGG
'003903,LUFKIN ISD,'07,N,A,NQ,N,'003,ANGELINA
'107906,MALAKOFF ISD,'07,N,A,NQ,N,'107,HENDERSON
'102902,MARSHALL ISD,'07,N,A,NQ,N,'102,HARRISON
'234905,MARTINS MILL ISD,'07,N,R,NQ,N,'234,VAN ZANDT
'174909,MARTINSVILLE ISD,'07,N,R,NQ,N,'174,NACOGDOCHES
'250903,MINEOLA ISD,'07,N,A,NQ,N,'250,WOOD
'201907,MOUNT ENTERPRISE ISD,'07,N,A,NQ,N,'201,RUSK
'107908,MURCHISON ISD,'07,N,R,NA,N,'107,HENDERSON
'174904,NACOGDOCHES ISD,'07,N,A,NQ,N,'174,NACOGDOCHES
'001906,NECHES ISD,'07,N,A,NQ,N,'001,ANDERSON
