CAMPUS,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,CSUPRATE,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'126901102,ALVARADO EL-NORTH,N,N,NQ,JOHNSON,'126,NA,A,ALVARADO ISD,'EE - 04,E,,,'11
'126901101,ALVARADO EL-SOUTH,N,N,NQ,JOHNSON,'126,NA,A,ALVARADO ISD,'KG - 04,E,,,'11
'126901001,ALVARADO H S,N,N,NQ,JOHNSON,'126,NQ,A,ALVARADO ISD,'09 - 12,S,,,'11
'126901104,ALVARADO INT,N,N,NQ,JOHNSON,'126,NA,R,ALVARADO ISD,'05 - 06,M,,,'11
'126901041,ALVARADO J H,N,N,NQ,JOHNSON,'126,NA,R,ALVARADO ISD,'07 - 08,M,,,'11
'126901103,LILLIAN EL,N,N,NQ,JOHNSON,'126,NA,R,ALVARADO ISD,'KG - 04,E,,,'11
'020901101,ALVIN EL,N,N,NQ,BRAZORIA,'020,NA,A,ALVIN ISD,'04 - 06,E,,,'04
'020901001,ALVIN H S,N,N,NQ,BRAZORIA,'020,NQ,A,ALVIN ISD,'09 - 12,S,,,'04
'020901041,ALVIN J H,N,N,NQ,BRAZORIA,'020,NA,A,ALVIN ISD,'07 - 08,M,,,'04
'020901102,ALVIN PRI,N,N,NQ,BRAZORIA,'020,NA,R,ALVIN ISD,'EE - 03,E,,ALVIN EL,'04
'020901044,ASSETS LEARNING CTR,N,N,NQ,BRAZORIA,'020,NA,E,ALVIN ISD,'07 - 08,M,,,'04
'020901200,DAY STAR RESIDENTIAL,N,N,,BRAZORIA,'020,NR,N,ALVIN ISD,'EE - 11,B,,,'04
'020901105,E C MASON PRI,N,N,NQ,BRAZORIA,'020,NA,R,ALVIN ISD,'EE - 05,E,,,'04
'020901043,G W HARBY J H,N,N,NQ,BRAZORIA,'020,NA,A,ALVIN ISD,'07 - 08,M,,,'04
'020901109,HOOD-CASE EL,N,N,NQ,BRAZORIA,'020,NA,R,ALVIN ISD,'EE - 06,E,,,'04
'020901104,LONGFELLOW EL,N,N,NQ,BRAZORIA,'020,NA,R,ALVIN ISD,'04 - 06,E,,,'04
'020901042,MANVEL J H,N,N,NQ,BRAZORIA,'020,NA,R,ALVIN ISD,'06 - 08,M,,,'04
'020901103,MARK TWAIN PRI,N,N,NQ,BRAZORIA,'020,NA,R,ALVIN ISD,'EE - 03,E,,LONGFELLOW EL,'04
'020901108,MELBA PASSMORE EL,N,N,NQ,BRAZORIA,'020,NA,E,ALVIN ISD,'EE - 06,E,,,'04
'020901106,R L STEVENSON EL,N,N,NQ,BRAZORIA,'020,NA,E,ALVIN ISD,'EE - 03,E,,WALT DISNEY EL,'04
'020901107,WALT DISNEY EL,N,N,NQ,BRAZORIA,'020,NA,R,ALVIN ISD,'04 - 06,E,,,'04
'249901101,ALVORD EL,N,N,R,WISE,'249,NA,E,ALVORD ISD,'KG - 05,E,,,'11
'249901001,ALVORD H S,N,N,NQ,WISE,'249,NQ,E,ALVORD ISD,'09 - 12,S,,,'11
