CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'043901104,A,GENE M REED EL,N,NQ,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901109,A,GEORGE J ANDERSON EL,N,NQ,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901111,,KERR ELEMENTARY SCHOOL,N,M,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901002,A,LOWERY FRESHMAN CENTER,N,NQ,COLLIN,'043,E,ALLEN ISD,'09 - 09,S,'043901001,ALLEN H S,'10
'043901106,A,MAX O VAUGHAN EL,N,NQ,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901042,A,W E PETE FORD MIDDLE,N,NQ,COLLIN,'043,R,ALLEN ISD,'07 - 08,M,,,'10
'043901043,A,WALTER & LOIS CURTIS MIDDLE,N,NQ,COLLIN,'043,E,ALLEN ISD,'07 - 08,M,,,'10
'242904001,TRA,ALLISON SCHOOL,N,NQ,WHEELER,'242,E,ALLISON ISD,'PK - 12,B,,,'16
'101817001,,ALPHONSO CRUTCH'S-LIFE SUPPORT CEN,Y,NE,HARRIS,'101,L,ALPHONSO CRUTCH'S-LIFE SUPPORT CEN,'06 - 12,B,,,'04
'022901101,,ALPINE EL,N,R,BREWSTER,'022,R,ALPINE ISD,'KG - 04,E,,,'18
'022901001,A,ALPINE H S,N,R,BREWSTER,'022,E,ALPINE ISD,'09 - 12,S,,,'18
'022901041,,ALPINE MIDDLE,N,NQ,BREWSTER,'022,R,ALPINE ISD,'05 - 08,M,,,'18
'022901102,,PETE GALLEGO SR CENTER,N,,BREWSTER,'022,N,ALPINE ISD,'EE - PK,E,,,'18
'037901101,,ALTO EL,N,NQ,CHEROKEE,'037,A,ALTO ISD,'PK - 04,E,,,'07
'037901001,,ALTO H S,N,NQ,CHEROKEE,'037,R,ALTO ISD,'09 - 12,S,,,'07
'037901041,A,ALTO MIDDLE,N,NQ,CHEROKEE,'037,A,ALTO ISD,'05 - 08,M,,,'07
'126901102,,ALVARADO EL-NORTH,N,NQ,JOHNSON,'126,A,ALVARADO ISD,'EE - 04,E,,,'11
'126901101,,ALVARADO EL-SOUTH,N,NQ,JOHNSON,'126,E,ALVARADO ISD,'PK - 04,E,,,'11
'126901001,,ALVARADO H S,N,R,JOHNSON,'126,R,ALVARADO ISD,'07 - 12,S,,,'11
'126901104,,ALVARADO INT,N,M,JOHNSON,'126,R,ALVARADO ISD,'05 - 06,M,,,'11
'126901041,,ALVARADO J H,N,NQ,JOHNSON,'126,A,ALVARADO ISD,'07 - 08,M,,,'11
'126901103,,LILLIAN EL,N,R,JOHNSON,'126,R,ALVARADO ISD,'PK - 04,E,,,'11
'020901101,,ALVIN EL,N,NQ,BRAZORIA,'020,R,ALVIN ISD,'04 - 06,E,,,'04
'020901001,,ALVIN HIGH SCHOOL,N,NQ,BRAZORIA,'020,A,ALVIN ISD,'EE - 12,B,,,'04
'020901041,,ALVIN J H,N,NQ,BRAZORIA,'020,E,ALVIN ISD,'07 - 08,M,,,'04
'020901102,,ALVIN PRI,N,NQ,BRAZORIA,'020,E,ALVIN ISD,'EE - 03,E,'020901101,ALVIN EL,'04
'020901044,,ASSETS LEARNING CTR,N,M,BRAZORIA,'020,E,ALVIN ISD,'07 - 08,M,,,'04
'020901004,,BRAZORIA CO J J A E P,N,,BRAZORIA,'020,X,ALVIN ISD,'09 - 10,S,,,'04
'020901200,,DAY STAR RESIDENTIAL,N,,BRAZORIA,'020,X,ALVIN ISD,'EE - 12,B,,,'04
