CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101902119,NA,STEPHENS EL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902127,NA,STOVALL ACADEMY,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902044,NA,STOVALL MIDDLE,N,N,R,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902048,NA,T S GRANTHAM MIDDLE,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,,,'04
'101902045,NA,TEAGUE MIDDLE,N,N,RM,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,,,'04
'101902154,NR,VINES EC/PRE-K CENTER,N,N,,HARRIS,'101,N,ALDINE ISD,'EE - PK,E,,,'04
'101902006,PE,W T HALL SCHOOL,N,N,,HARRIS,'101,1,ALDINE ISD,'09 - 12,S,,,'04
'101902115,NA,WEAVER A ODOM ELEMENTARY,N,N,R,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902067,NA,WILSON INT,N,N,M,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902110,NA,WORSHAM EL,N,N,NQ,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,,,'04
'184907102,NA,ALEDO EL,N,N,NQ,PARKER,'184,E,ALEDO ISD,'EE - 02,E,'184907101,ALEDO INT,'11
'184907001,NQ,ALEDO H S,N,N,R,PARKER,'184,E,ALEDO ISD,'09 - 12,S,,,'11
'184907101,NA,ALEDO INT,N,N,NQ,PARKER,'184,E,ALEDO ISD,'03 - 05,E,,,'11
'184907041,NA,ALEDO MIDDLE,N,N,RM,PARKER,'184,E,ALEDO ISD,'06 - 08,M,,,'11
'125901043,NA,ADAMS MIDDLE,N,N,NQ,JIM WELLS,'125,A,ALICE ISD,'07 - 08,M,,,'02
'125901001,NQ,ALICE H S,N,N,NQ,JIM WELLS,'125,A,ALICE ISD,'09 - 12,S,,,'02
'125901041,NA,DUBOSE INTERMEDIATE,N,N,NQ,JIM WELLS,'125,A,ALICE ISD,'05 - 06,M,,,'02
'125901102,NA,GARCIA EL,N,N,NQ,JIM WELLS,'125,R,ALICE ISD,'KG - 04,E,,,'02
'125901101,NA,HILLCREST EL,N,N,NQ,JIM WELLS,'125,A,ALICE ISD,'KG - 04,E,,,'02
'125901042,NA,MEMORIAL INTERMEDIATE,N,N,NQ,JIM WELLS,'125,A,ALICE ISD,'05 - 06,M,,,'02
'125901103,NA,NAYER EL,N,N,NQ,JIM WELLS,'125,A,ALICE ISD,'EE - 04,E,,,'02
'125901104,NA,NOONAN EL,N,N,R,JIM WELLS,'125,A,ALICE ISD,'KG - 04,E,,,'02
'125901105,NA,SAENZ EL,N,N,NQ,JIM WELLS,'125,R,ALICE ISD,'KG - 04,E,,,'02
'125901106,NA,SALAZAR EL,N,N,NQ,JIM WELLS,'125,A,ALICE ISD,'KG - 04,E,,,'02
'125901107,NA,SCHALLERT EL,N,N,R,JIM WELLS,'125,A,ALICE ISD,'KG - 04,E,,,'02
'101903103,NA,A J MARTIN EL,N,N,R,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903199,NO,ADMIN SERVICES,N,N,,HARRIS,'101,X,ALIEF ISD,'11 - 12,S,,,'04
'101903045,NA,ALBRIGHT MIDDLE,N,N,NQ,HARRIS,'101,R,ALIEF ISD,'06 - 08,M,,,'04
'101903041,NA,ALIEF MIDDLE,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'06 - 08,M,,,'04
'101903121,NA,AUDREY JUDY BUSH EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903118,NA,BEST EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,,,'04
'101903102,NA,BOONE EL,N,N,R,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903108,NA,CHANCELLOR EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,,,'04
'101903112,NA,CUMMINGS EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903114,NA,DEBORAH ALEXANDER EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903043,NA,DON P KILLOUGH MIDDLE,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
