CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,REGION,PAIRCAMP,pairname
'101903042,,OLLE MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,'04,,
'101903119,EM,OUTLEY EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,'04,,
'101903140,MZ,OWENS INT,N,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,'04,,
'101903110,X,PETROSKY EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,'04,,
'101903113,M,REES EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,'04,,
'101903105,Z,SMITH EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,'04,,
'101903117,EWMY,SNEED EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,'04,,
'101903003,RY,TAYLOR HIGH SCHOOL,N,HARRIS,'101,A,ALIEF ISD,'09 - 12,S,'04,,
'101903101,WY,YOUENS EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,'04,,
'101903142,AMY,YOUNGBLOOD INT,N,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,'04,,
'101815101,EWMNX,ALIEF MONTESSORI COMMUNITY SCHOOL,Y,HARRIS,'101,R,ALIEF MONTESSORI COMMUNITY SCHOOL,'PK - 05,E,'04,,
'043901001,PSX,ALLEN H S,N,COLLIN,'043,R,ALLEN ISD,'09 - 12,S,'10,,
'043901102,AENY,ALTON BOYD EL,N,COLLIN,'043,R,ALLEN ISD,'KG - 06,E,'10,,
'043901105,AEWMN,ALVIS C STORY EL,N,COLLIN,'043,R,ALLEN ISD,'EE - 06,E,'10,,
'043901110,AEWMNY,BOLIN ELEMENTARY SCHOOL,N,COLLIN,'043,E,ALLEN ISD,'EE - 06,E,'10,,
'043901003,,COLLIN CO J J A E P,N,COLLIN,'043,X,ALLEN ISD,'09 - 12,S,'10,,
'043901101,AEMN,D L ROUNTREE EL,N,COLLIN,'043,A,ALLEN ISD,'EE - 06,E,'10,,
'043901113,EWMNZ,DR E T BOON EL,N,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,'10,,
'043901044,AEWS,ERECKSON MS,N,COLLIN,'043,R,ALLEN ISD,'07 - 08,M,'10,,
'043901107,AEWMNY,FLOSSIE FLOYD GREEN EL,N,COLLIN,'043,E,ALLEN ISD,'EE - 06,E,'10,,
'043901108,AEWMN,FRANCES E NORTON EL,N,COLLIN,'043,E,ALLEN ISD,'EE - 06,E,'10,,
'043901104,NY,GENE M REED EL,N,COLLIN,'043,R,ALLEN ISD,'KG - 06,E,'10,,
'043901109,AEWMNY,GEORGE J ANDERSON EL,N,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,'10,,
'043901112,AEWMNY,JAMES AND MARGIE MARION ELEMENTAR,N,COLLIN,'043,R,ALLEN ISD,'EE - 06,E,'10,,
'043901111,AEWMNY,KERR ELEMENTARY SCHOOL,N,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,'10,,
'043901002,AEY,LOWERY FRESHMAN CENTER,N,COLLIN,'043,A,ALLEN ISD,'09 - 09,S,'10,,
'043901106,AEWMNZ,MAX O VAUGHAN EL,N,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,'10,,
'043901042,AEWS,W E PETE FORD MIDDLE,N,COLLIN,'043,R,ALLEN ISD,'07 - 08,M,'10,,
'043901043,AEWS,WALTER & LOIS CURTIS MIDDLE,N,COLLIN,'043,R,ALLEN ISD,'07 - 08,M,'10,,
