CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'020901101,EMNY,ALVIN ELEMENTARY,N,BRAZORIA,'020,R,ALVIN ISD,'04 - 06,E,,,'04
'020901001,X,ALVIN HIGH SCHOOL,N,BRAZORIA,'020,A,ALVIN ISD,'09 - 12,S,,,'04
'020901041,EX,ALVIN J H,N,BRAZORIA,'020,A,ALVIN ISD,'07 - 08,M,,,'04
'020901102,EM,ALVIN PRI,N,BRAZORIA,'020,E,ALVIN ISD,'EE - 03,E,,,'04
'020901005,,ASSETS,N,BRAZORIA,'020,1,ALVIN ISD,'07 - 10,S,,,'04
'020901200,,DAY STAR RESIDENTIAL,N,BRAZORIA,'020,X,ALVIN ISD,'KG - 12,B,,,'04
'020901110,WMN,DON JETER ELEMENTARY,N,BRAZORIA,'020,A,ALVIN ISD,'EE - 06,E,,,'04
'020901105,EWMNY,E C MASON ELEMENTARY,N,BRAZORIA,'020,R,ALVIN ISD,'EE - 06,E,,,'04
'020901043,EWX,G W HARBY J H,N,BRAZORIA,'020,R,ALVIN ISD,'06 - 08,M,,,'04
'020901109,EWMNY,HOOD-CASE ELEMENTARY,N,BRAZORIA,'020,R,ALVIN ISD,'EE - 06,E,,,'04
'020901104,MN,LONGFELLOW ELEMENTARY,N,BRAZORIA,'020,R,ALVIN ISD,'04 - 06,E,,,'04
'020901042,EWSX,MANVEL J H,N,BRAZORIA,'020,R,ALVIN ISD,'07 - 08,M,,,'04
'020901103,,MARK TWAIN PRIMARY,N,BRAZORIA,'020,R,ALVIN ISD,'EE - 03,E,,,'04
'020901111,EWMNZ,MARY BURKS MAREK EL,N,BRAZORIA,'020,R,ALVIN ISD,'PK - 06,E,,,'04
'020901108,MNY,MELBA PASSMORE ELEMENTARY,N,BRAZORIA,'020,A,ALVIN ISD,'EE - 06,E,,,'04
'020901106,,R L STEVENSON PRIMARY,N,BRAZORIA,'020,R,ALVIN ISD,'EE - 03,E,,,'04
