DISTRICT,YEAR,DA0GM*N,DA0GM*R
'166903,1997,,
'166904,1997,,
'166905,1997,,
'166907,1997,,
'167901,1997,,
'167902,1997,,
'167903,1997,,
'167904,1997,,
'168901,1997,,
'168902,1997,,
'168903,1997,,
'169901,1997,,
'169902,1997,,
'169906,1997,,
'169908,1997,,
'169909,1997,,
'169910,1997,,
'169911,1997,,
'170902,1997,,
'170903,1997,,
'170904,1997,,
'170906,1997,,
'170907,1997,,
'170908,1997,,
'171901,1997,,
'171902,1997,,
'172902,1997,,
'172905,1997,,
'173901,1997,,
'174901,1997,,
'174902,1997,,
'174903,1997,,
'174904,1997,,
'174906,1997,,
'174908,1997,,
'174909,1997,,
'174910,1997,,
'174911,1997,,
'175902,1997,,
'175903,1997,,
'175904,1997,,
'175905,1997,,
'175907,1997,,
'175910,1997,,
'175911,1997,,
'176901,1997,,
'176902,1997,,
'176903,1997,,
'177901,1997,,
'177902,1997,,
'177903,1997,,
'177905,1997,,
'178801,1997,,
'178802,1997,,
'178901,1997,,
'178902,1997,,
'178903,1997,,
'178904,1997,,
'178905,1997,,
'178906,1997,,
'178908,1997,,
'178909,1997,,
'178912,1997,,
'178913,1997,,
'178914,1997,,
'178915,1997,,
'179901,1997,,
'180901,1997,,
'180902,1997,,
'180903,1997,,
'180904,1997,,
'181901,1997,,
'181905,1997,,
'181906,1997,,
'181907,1997,,
'181908,1997,,
'182901,1997,,
'182902,1997,,
'182903,1997,,
'182904,1997,,
'182905,1997,,
'182906,1997,,
'183901,1997,,
'183902,1997,,
'183904,1997,,
'184901,1997,,
'184902,1997,,
'184903,1997,,
'184904,1997,,
'184907,1997,,
'184908,1997,,
'184909,1997,,
'184911,1997,,
'185901,1997,,
'185902,1997,,
'185903,1997,,
'185904,1997,,
'186901,1997,,
'186902,1997,,
'186903,1997,,
'187901,1997,,
'187903,1997,,
'187904,1997,,
'187906,1997,,
'187907,1997,,
'187910,1997,,
'188901,1997,,
'188902,1997,,
'188903,1997,,
'188904,1997,,
'189901,1997,,
'189902,1997,,
'190903,1997,,
'191901,1997,,
'192901,1997,,
'193902,1997,,
'194902,1997,,
'194903,1997,,
'194904,1997,,
'194905,1997,,
'195901,1997,,
'195902,1997,,
'196901,1997,,
'196902,1997,,
'196903,1997,,
'197902,1997,,
'198901,1997,,
'198902,1997,,
'198903,1997,,
'198905,1997,,
'198906,1997,,
'199901,1997,,
'199902,1997,,
'200901,1997,,
'200902,1997,,
'200904,1997,,
'200906,1997,,
'201902,1997,,
'201903,1997,,
'201904,1997,,
'201907,1997,,
'201908,1997,,
'201910,1997,,
'201913,1997,,
'201914,1997,,
'202903,1997,,
'202905,1997,,
'203901,1997,,
'203902,1997,,
'204901,1997,,
'204904,1997,,
'205901,1997,,
'205902,1997,,
'205903,1997,,
'205904,1997,,
'205905,1997,,
'205906,1997,,
'205907,1997,,
'206901,1997,,
'206902,1997,,
'206903,1997,,
'207901,1997,,
'208901,1997,,
'208902,1997,,
'208903,1997,,
'209901,1997,,
'209902,1997,,
'210901,1997,,
'210902,1997,,
'210903,1997,,
'210904,1997,,
'210905,1997,,
'210906,1997,,
'211901,1997,,
'211902,1997,,
'212901,1997,,
'212902,1997,,
'212903,1997,,
'212904,1997,,
'212905,1997,,
'212906,1997,,
'212909,1997,,
'212910,1997,,
'213901,1997,,
'214901,1997,,
'214902,1997,,
'214903,1997,,
'215901,1997,,
'216901,1997,,
'217901,1997,,
'218901,1997,,
'219901,1997,,
'219903,1997,,
'219905,1997,,
'220901,1997,,
'220902,1997,,
'220904,1997,,
'220905,1997,,
'220906,1997,,
'220907,1997,,
'220908,1997,,
'220909,1997,,
'220910,1997,,
'220912,1997,,
'220914,1997,,
'220915,1997,,
'220916,1997,,
'220917,1997,,
'220918,1997,,
'220919,1997,,
'220920,1997,,
'221901,1997,,
'221904,1997,,
'221905,1997,,
'221911,1997,,
'221912,1997,,
'222901,1997,,
'223901,1997,,
'223902,1997,,
'223903,1997,,
'223904,1997,,
'224901,1997,,
'224902,1997,,
'225902,1997,,
'225905,1997,,
'225906,1997,,
'225907,1997,,
'226901,1997,,
'226903,1997,,
'226905,1997,,
'226906,1997,,
'226907,1997,,
'226908,1997,,
'227801,1997,,
'227802,1997,,
'227901,1997,,
'227904,1997,,
'227907,1997,,
'227909,1997,,
'227910,1997,,
'227912,1997,,
'227913,1997,,
'228901,1997,,
'228903,1997,,
'228904,1997,,
'228905,1997,,
'229901,1997,,
'229903,1997,,
'229904,1997,,
'229905,1997,,
'229906,1997,,
'230901,1997,,
'230902,1997,,
'230903,1997,,
'230904,1997,,
'230905,1997,,
'230906,1997,,
'230908,1997,,
'231901,1997,,
'231902,1997,,
'232901,1997,,
'232902,1997,,
'232903,1997,,
'232904,1997,,
'233901,1997,,
'233903,1997,,
'234902,1997,,
'234903,1997,,
'234904,1997,,
'234905,1997,,
'234906,1997,,
'234907,1997,,
'234909,1997,,
'235901,1997,,
'235902,1997,,
'235904,1997,,
'236901,1997,,
'236902,1997,,
'237902,1997,,
'237904,1997,,
'237905,1997,,
'238902,1997,,
'238904,1997,,
'239901,1997,,
'239903,1997,,
'240901,1997,,
'240902,1997,,
'240903,1997,,
'240904,1997,,
'241901,1997,,
'241902,1997,,
'241903,1997,,
'241904,1997,,
'241906,1997,,
'242902,1997,,
'242903,1997,,
'242904,1997,,
'242905,1997,,
'242906,1997,,
'243901,1997,,
'243902,1997,,
'243903,1997,,
'243905,1997,,
'243906,1997,,
'244901,1997,,
'244903,1997,,
'244905,1997,,
'245901,1997,,
'245902,1997,,
'245903,1997,,
'245904,1997,,
'246902,1997,,
'246904,1997,,
'246905,1997,,
'246906,1997,,
'246907,1997,,
'246908,1997,,
'246909,1997,,
'246911,1997,,
'246912,1997,,
'246913,1997,,
'246914,1997,,
'247901,1997,,
'247903,1997,,
'247904,1997,,
'247906,1997,,
'248901,1997,,
'248902,1997,,
'249901,1997,,
'249902,1997,,
'249903,1997,,
'249904,1997,,
'249905,1997,,
'249906,1997,,
'249908,1997,,
'250902,1997,,
'250903,1997,,
'250904,1997,,
'250905,1997,,
'250906,1997,,
'250907,1997,,
'251901,1997,,
'251902,1997,,
'252901,1997,,
'252902,1997,,
'252903,1997,,
'253901,1997,,
'254901,1997,,
'254902,1997,,
'1,1997,,
'001902,1998,,
'001903,1998,,
'001904,1998,,
'001906,1998,,
'001907,1998,,
'001908,1998,,
'001909,1998,,
'002901,1998,,
'003902,1998,,
'003903,1998,,
'003904,1998,,
'003905,1998,,
'003906,1998,,
'003907,1998,,
'004901,1998,,
'005901,1998,,
'005902,1998,,
'005903,1998,,
'005904,1998,,
'006902,1998,,
'007901,1998,,
'007902,1998,,
'007904,1998,,
'007905,1998,,
'007906,1998,,
'008901,1998,,
'008902,1998,,
'008903,1998,,
'009901,1998,,
'009903,1998,,
'010901,1998,,
'010902,1998,,
'011901,1998,,
'011902,1998,,
'011904,1998,,
'011905,1998,,
'012901,1998,,
'013901,1998,,
'013902,1998,,
'013903,1998,,
'013905,1998,,
'014901,1998,,
'014902,1998,,
'014903,1998,,
'014905,1998,,
'014906,1998,,
'014907,1998,,
'014908,1998,,
'014909,1998,,
'014910,1998,,
'015801,1998,,
'015802,1998,,
'015901,1998,,
'015904,1998,,
'015905,1998,,
'015906,1998,,
'015907,1998,,
'015908,1998,,
'015909,1998,,
'015910,1998,,
'015911,1998,,
'015912,1998,,
'015913,1998,,
'015914,1998,,
'015915,1998,,
'015916,1998,,
'015917,1998,,
'016901,1998,,
'016902,1998,,
'017901,1998,,
'018901,1998,,
'018902,1998,,
'018903,1998,,
'018904,1998,,
'018905,1998,,
'018906,1998,,
'018907,1998,,
'018908,1998,,
'019901,1998,,
'019902,1998,,
'019903,1998,,
'019905,1998,,
'019906,1998,,
'019907,1998,,
'019908,1998,,
'019909,1998,,
'019910,1998,,
'019911,1998,,
'019912,1998,,
'019913,1998,,
'019914,1998,,
'020901,1998,,
'020902,1998,,
'020904,1998,,
'020905,1998,,
'020906,1998,,
'020907,1998,,
'020908,1998,,
'020910,1998,,
'021901,1998,,
'021902,1998,,
'022004,1998,,
'022901,1998,,
'022902,1998,,
'022903,1998,,
