DISTRICT,DPSTEXPA,DPSTKIDR,DPSTTENA,DPSTTOSA,YEAR
'126911,8.9,13.4,5.0,29361,1997
'127901,10.8,12.0,5.7,29026,1997
'127903,10.2,11.0,6.1,29313,1997
'127904,9.4,11.7,5.8,28801,1997
'127905,16.9,9.1,11.2,32243,1997
'127906,12.3,11.8,8.4,29687,1997
'128901,12.5,13.0,8.1,31036,1997
'128902,11.7,12.5,8.0,30036,1997
'128903,10.7,9.5,6.3,30019,1997
'128904,13.9,11.6,7.5,32597,1997
'129901,9.3,14.9,4.4,28274,1997
'129902,9.0,16.5,5.8,29060,1997
'129903,10.4,16.6,6.3,29064,1997
'129904,9.3,14.1,5.4,28543,1997
'129905,11.1,15.8,6.0,29931,1997
'129906,11.5,14.9,7.7,30955,1997
'129910,10.2,12.7,5.6,29900,1997
'130901,12.0,15.7,6.1,30817,1997
'130902,9.7,12.2,3.8,29802,1997
'131001,16.4,6.5,12.6,34783,1997
'132902,16.8,9.9,10.9,36968,1997
'133901,7.3,12.3,3.5,28382,1997
'133902,13.8,12.3,5.9,30484,1997
'133903,14.0,15.1,7.4,31972,1997
'133904,11.3,12.3,4.9,29600,1997
'133905,12.3,15.3,2.0,29397,1997
'134901,10.7,10.8,6.5,28572,1997
'135001,15.0,4.9,9.2,35447,1997
'136901,10.6,10.5,5.9,29344,1997
'137901,13.3,14.2,9.2,31704,1997
'137902,12.7,15.3,6.9,32980,1997
'137903,11.7,11.2,7.6,30040,1997
'137904,9.4,9.2,4.1,31722,1997
'138901,8.6,8.4,5.7,26123,1997
'138902,16.4,10.3,8.5,31967,1997
'138903,13.6,11.7,8.6,31147,1997
'138904,14.4,8.5,5.8,31523,1997
'139905,12.2,13.5,7.8,30081,1997
'139908,12.4,12.2,8.7,30231,1997
'139909,13.1,14.0,10.6,31585,1997
'139911,12.4,15.1,8.9,31130,1997
'139912,15.1,14.4,10.6,31818,1997
'140901,9.5,9.6,5.5,28737,1997
'140904,12.6,17.0,8.9,31915,1997
'140905,9.5,11.8,4.9,28672,1997
'140906,10.8,8.4,6.5,30484,1997
'140907,12.4,12.2,8.6,31897,1997
'140908,15.7,10.2,10.6,37018,1997
'141901,12.5,16.0,7.8,29892,1997
'141902,10.8,12.9,6.0,30086,1997
'142901,9.8,14.5,6.9,28395,1997
'143901,16.7,15.0,11.3,33065,1997
'143902,14.7,13.4,10.4,31886,1997
'143903,15.7,12.2,11.4,31372,1997
