CAMPUS,YEAR,CAHEE*R,CAHEC#R,CAHEC*R,CAHEE#R
'031901120,1998,,,,
'031901121,1998,,,,
'031901122,1998,,,,
'031901123,1998,,,,
'031901124,1998,,,,
'031901126,1998,,,,
'031901127,1998,,,,
'031901128,1998,,,,
'031901129,1998,,,,
'031901130,1998,,,,
'031901131,1998,,,,
'031901132,1998,,,,
'031901133,1998,,,,
'031903001,1998,,,,
'031903002,1998,,,,
'031903003,1998,,,,
'031903004,1998,,,,
'031903041,1998,,,,
'031903042,1998,,,,
'031903043,1998,,,,
'031903044,1998,,,,
'031903102,1998,,,,
'031903103,1998,,,,
'031903104,1998,,,,
'031903105,1998,,,,
'031903106,1998,,,,
'031903107,1998,,,,
'031903108,1998,,,,
'031903109,1998,,,,
'031903110,1998,,,,
'031903111,1998,,,,
'031903112,1998,,,,
'031903114,1998,,,,
'031903116,1998,,,,
'031903117,1998,,,,
'031903118,1998,,,,
'031903120,1998,,,,
'031905001,1998,,,,
'031905002,1998,,,,
'031905041,1998,,,,
'031905101,1998,,,,
'031905102,1998,,,,
'031905103,1998,,,,
'031906001,1998,,,,
'031906003,1998,,,,
'031906005,1998,,,,
'031906041,1998,,,,
'031906101,1998,,,,
'031906102,1998,,,,
'031906103,1998,,,,
'031906104,1998,,,,
'031906105,1998,,,,
'031906106,1998,,,,
'031909001,1998,,,,
'031909041,1998,,,,
'031909101,1998,,,,
'031909102,1998,,,,
'031911001,1998,,,,
'031911041,1998,,,,
'031911102,1998,,,,
'031911103,1998,,,,
'031912001,1998,,,,
'031912003,1998,,,,
'031912004,1998,,,,
'031912041,1998,,,,
'031912042,1998,,,,
'031912101,1998,,,,
'031912102,1998,,,,
'031912103,1998,,,,
'031912104,1998,,,,
'031912106,1998,,,,
'031912108,1998,,,,
'031912109,1998,,,,
'031912110,1998,,,,
'031912112,1998,,,,
'031912114,1998,,,,
'031912201,1998,,,,
'031913001,1998,,,,
'031913041,1998,,,,
'031913101,1998,,,,
'031914001,1998,,,,
'031914041,1998,,,,
'031914101,1998,,,,
'031916001,1998,,,,
'031916003,1998,,,,
'031916004,1998,,,,
'031916005,1998,,,,
'032902002,1998,,,,
'032902041,1998,,,,
'032902103,1998,,,,
'032902104,1998,,,,
'033901001,1998,,,,
'033902001,1998,,,,
'033902002,1998,,,,
'033902041,1998,,,,
'033902101,1998,,,,
'033904001,1998,,,,
'033904101,1998,,,,
'033904102,1998,,,,
'034901001,1998,,,,
'034901002,1998,,,,
'034901042,1998,,,,
'034901106,1998,,,,
'034901107,1998,,,,
'034902001,1998,,,,
'034902101,1998,,,,
'034903001,1998,,,,
'034903041,1998,,,,
'034903101,1998,,,,
'034905002,1998,,,,
'034905041,1998,,,,
'034905102,1998,,,,
'034906001,1998,,,,
'034906041,1998,,,,
'034906101,1998,,,,
'034907001,1998,,,,
'034907041,1998,,,,
'034907101,1998,,,,
'034908102,1998,,,,
'034909001,1998,,,,
'034909101,1998,,,,
'035901001,1998,,,,
'035901002,1998,,,,
'035901041,1998,,,,
'035901102,1998,,,,
'035902001,1998,,,,
'035902101,1998,,,,
'035903001,1998,,,,
'036901001,1998,,,,
'036901002,1998,,,,
'036901003,1998,,,,
'036901041,1998,,,,
'036901101,1998,,,,
'036902001,1998,,,,
'036902003,1998,,,,
'036902041,1998,,,,
'036902101,1998,,,,
'036902301,1998,,,,
'036903001,1998,,,,
'036903002,1998,,,,
'036903003,1998,,,,
'036903041,1998,,,,
'036903101,1998,,,,
'037901001,1998,,,,
'037901002,1998,,,,
'037901041,1998,,,,
'037901101,1998,,,,
'037904002,1998,,,,
'037904004,1998,,,,
'037904042,1998,,,,
'037904102,1998,,,,
'037904103,1998,,,,
'037904104,1998,,,,
'037904105,1998,,,,
'037907002,1998,,,,
'037907041,1998,,,,
'037907102,1998,,,,
'037907103,1998,,,,
'037908001,1998,,,,
'037909001,1998,,,,
'037909101,1998,,,,
'038901001,1998,,,,
'038901041,1998,,,,
'038901102,1998,,,,
'039901001,1998,,,,
'039902001,1998,,,,
'039902041,1998,,,,
'039902101,1998,,,,
'039903001,1998,,,,
'039903101,1998,,,,
'039904001,1998,,,,
'039905001,1998,,,,
'040901001,1998,,,,
'040901041,1998,,,,
'040901102,1998,,,,
'040902001,1998,,,,
'040902002,1998,,,,
'040902101,1998,,,,
'040902102,1998,,,,
'041901001,1998,,,,
'041901002,1998,,,,
'041901003,1998,,,,
'041901101,1998,,,,
'041901150,1998,,,,
'041902001,1998,,,,
