DISTRICT,CNTYNAME,COUNTY,DACKDTL,DISTNAME,D_RATING,REGION
'176902,NEWTON,'176,,NEWTON ISD,R,'05
'176903,NEWTON,'176,,DEWEYVILLE ISD,A,'05
'177901,NOLAN,'177,RA,ROSCOE ISD,A,'14
'177902,NOLAN,'177,,SWEETWATER ISD,A,'14
'177903,NOLAN,'177,A,BLACKWELL CONS ISD,E,'14
'177905,NOLAN,'177,RA,HIGHLAND ISD,E,'14
'178801,NUECES,'178,,ACADEMY OF TRANSITIONAL STUDIES,C,'02
'178802,NUECES,'178,,SEASHORE LEARNING CTR CHARTER,C,'02
'178803,NUECES,'178,,COASTAL BEND YOUTH CITY,C,'02
'178804,NUECES,'178,,CORPUS CHRISTI-RICHARD MILBURN ALT,C,'02
'178805,NUECES,'178,,TEXAS SERENITY ACADEMY (BAYSHORE),C,'02
'178806,NUECES,'178,,XXI CENTURY ACADEMY OF SCIENCE AND,C,'02
'178901,NUECES,'178,R,AGUA DULCE ISD,R,'02
'178902,NUECES,'178,,BISHOP CONS ISD,R,'02
'178903,NUECES,'178,R,CALALLEN ISD,R,'02
'178904,NUECES,'178,,CORPUS CHRISTI ISD,R,'02
'178905,NUECES,'178,A,DRISCOLL ISD,A,'02
'178906,NUECES,'178,A,LONDON ISD,E,'02
'178908,NUECES,'178,,PORT ARANSAS ISD,R,'02
'178909,NUECES,'178,R,ROBSTOWN ISD,R,'02
'178912,NUECES,'178,R,TULOSO-MIDWAY ISD,R,'02
'178913,NUECES,'178,R,BANQUETE ISD,R,'02
'178914,NUECES,'178,,FLOUR BLUFF ISD,R,'02
'178915,NUECES,'178,,WEST OSO ISD,A,'02
'179901,OCHILTREE,'179,R,PERRYTON ISD,A,'16
'180901,OLDHAM,'180,A,BOYS RANCH ISD,R,'16
'180902,OLDHAM,'180,A,VEGA ISD,R,'16
'180903,OLDHAM,'180,TR,ADRIAN ISD,E,'16
'180904,OLDHAM,'180,A,WILDORADO ISD,E,'16
'181901,ORANGE,'181,,BRIDGE CITY ISD,R,'05
'181905,ORANGE,'181,,ORANGEFIELD ISD,R,'05
'181906,ORANGE,'181,,WEST ORANGE-COVE CONS ISD,A,'05
'181907,ORANGE,'181,R,VIDOR ISD,R,'05
'181908,ORANGE,'181,,LITTLE CYPRESS-MAURICEVILLE CISD,R,'05
'182901,PALO PINTO,'182,RA,GORDON ISD,R,'11
'182902,PALO PINTO,'182,,GRAFORD ISD,A,'11
'182903,PALO PINTO,'182,,MINERAL WELLS ISD,R,'11
'182904,PALO PINTO,'182,,SANTO ISD,R,'11
'182905,PALO PINTO,'182,,STRAWN ISD,R,'11
'182906,PALO PINTO,'182,A,PALO PINTO ISD,E,'11
'183801,PANOLA,'183,,PANOLA CHARTER SCHOOL,C,'07
'183901,PANOLA,'183,R,BECKVILLE ISD,R,'07
'183902,PANOLA,'183,,CARTHAGE ISD,A,'07
'183904,PANOLA,'183,,GARY ISD,A,'07
'184901,PARKER,'184,,POOLVILLE ISD,A,'11
'184902,PARKER,'184,R,SPRINGTOWN ISD,A,'11
'184903,PARKER,'184,,WEATHERFORD ISD,R,'11
'184904,PARKER,'184,RA,MILLSAP ISD,R,'11
'184907,PARKER,'184,R,ALEDO ISD,R,'11
'184908,PARKER,'184,,PEASTER ISD,R,'11
'184909,PARKER,'184,RA,BROCK ISD,E,'11
'184911,PARKER,'184,,GARNER ISD,R,'11
'185901,PARMER,'185,,BOVINA ISD,R,'16
'185902,PARMER,'185,RA,FARWELL ISD,R,'16
'185903,PARMER,'185,RA,FRIONA ISD,R,'16
'185904,PARMER,'185,RA,LAZBUDDIE ISD,R,'16
'186901,PECOS,'186,RA,BUENA VISTA ISD,R,'18
'186902,PECOS,'186,,FT STOCKTON ISD,A,'18
'186903,PECOS,'186,RA,IRAAN-SHEFFIELD ISD,R,'18
'187901,POLK,'187,R,BIG SANDY ISD,A,'06
'187903,POLK,'187,R,GOODRICH ISD,R,'06
'187904,POLK,'187,,CORRIGAN-CAMDEN ISD,A,'06
'187906,POLK,'187,R,LEGGETT ISD,A,'06
'187907,POLK,'187,,LIVINGSTON ISD,A,'06
'187910,POLK,'187,,ONALASKA ISD,E,'06
'188901,POTTER,'188,,AMARILLO ISD,R,'16
'188902,POTTER,'188,R,RIVER ROAD ISD,A,'16
'188903,POTTER,'188,A,HIGHLAND PARK ISD,E,'16
'188904,POTTER,'188,,BUSHLAND ISD,A,'16
'189901,PRESIDIO,'189,R,MARFA ISD,A,'18
'189902,PRESIDIO,'189,R,PRESIDIO ISD,A,'18
'190903,RAINS,'190,,RAINS ISD,R,'07
'191901,RANDALL,'191,R,CANYON ISD,R,'16
'192901,REAGAN,'192,A,REAGAN COUNTY ISD,E,'18
'193902,REAL,'193,R,LEAKEY ISD,A,'20
'194902,RED RIVER,'194,,AVERY ISD,E,'08
'194903,RED RIVER,'194,,RIVERCREST ISD,R,'08
'194904,RED RIVER,'194,,CLARKSVILLE ISD,A,'08
'194905,RED RIVER,'194,A,DETROIT ISD,R,'08
'195901,REEVES,'195,R,PECOS-BARSTOW-TOYAH ISD,A,'18
'195902,REEVES,'195,R,BALMORHEA ISD,A,'18
'196901,REFUGIO,'196,TR,AUSTWELL-TIVOLI ISD,R,'03
'196902,REFUGIO,'196,R,WOODSBORO ISD,E,'03
'196903,REFUGIO,'196,R,REFUGIO ISD,A,'03
'197902,ROBERTS,'197,A,MIAMI ISD,E,'16
'198901,ROBERTSON,'198,RA,BREMOND ISD,E,'06
'198902,ROBERTSON,'198,R,CALVERT ISD,A,'06
'198903,ROBERTSON,'198,,FRANKLIN ISD,R,'06
'198905,ROBERTSON,'198,,HEARNE ISD,L,'06
'198906,ROBERTSON,'198,,MUMFORD ISD,R,'06
'199901,ROCKWALL,'199,R,ROCKWALL ISD,A,'10
'199902,ROCKWALL,'199,R,ROYSE CITY ISD,R,'10
'200901,RUNNELS,'200,,BALLINGER ISD,E,'15
'200902,RUNNELS,'200,RA,MILES ISD,A,'15
'200904,RUNNELS,'200,R,WINTERS ISD,A,'15
'200906,RUNNELS,'200,,OLFEN ISD,E,'15
'201902,RUSK,'201,,HENDERSON ISD,A,'07
'201903,RUSK,'201,,LANEVILLE ISD,A,'07
'201904,RUSK,'201,,LEVERETTS CHAPEL ISD,R,'07
'201907,RUSK,'201,RA,MOUNT ENTERPRISE ISD,A,'07
'201908,RUSK,'201,,OVERTON ISD,R,'07
'201910,RUSK,'201,R,TATUM ISD,A,'07
'201913,RUSK,'201,,CARLISLE ISD,A,'07
'201914,RUSK,'201,R,WEST RUSK ISD,R,'07
'202903,SABINE,'202,R,HEMPHILL ISD,R,'07
'202905,SABINE,'202,R,WEST SABINE ISD,E,'07
'203901,SAN AUGUSTINE,'203,,SAN AUGUSTINE ISD,A,'07
'203902,SAN AUGUSTINE,'203,R,BROADDUS ISD,A,'07
'204901,SAN JACINTO,'204,R,COLDSPRING-OAKHURST CONS ISD,A,'06
'204904,SAN JACINTO,'204,,SHEPHERD ISD,A,'06
'205901,SAN PATRICIO,'205,,ARANSAS PASS ISD,A,'02
'205902,SAN PATRICIO,'205,RA,GREGORY-PORTLAND ISD,R,'02
'205903,SAN PATRICIO,'205,,INGLESIDE ISD,R,'02
'205904,SAN PATRICIO,'205,R,MATHIS ISD,A,'02
'205905,SAN PATRICIO,'205,RA,ODEM-EDROY ISD,R,'02
'205906,SAN PATRICIO,'205,R,SINTON ISD,R,'02
'205907,SAN PATRICIO,'205,R,TAFT ISD,R,'02
'206901,SAN SABA,'206,RA,SAN SABA ISD,A,'15
'206902,SAN SABA,'206,R,RICHLAND SPRINGS ISD,A,'15
'206903,SAN SABA,'206,,CHEROKEE ISD,E,'15
'207901,SCHLEICHER,'207,A,SCHLEICHER ISD,R,'15
'208901,SCURRY,'208,,HERMLEIGH ISD,R,'14
'208902,SCURRY,'208,,SNYDER ISD,R,'14
'208903,SCURRY,'208,TRA,IRA ISD,E,'14
'209901,SHACKELFORD,'209,T,ALBANY ISD,R,'14
'209902,SHACKELFORD,'209,A,MORAN ISD,R,'14
'210901,SHELBY,'210,A,CENTER ISD,A,'07
'210902,SHELBY,'210,,JOAQUIN ISD,R,'07
'210903,SHELBY,'210,,SHELBYVILLE ISD,A,'07
'210904,SHELBY,'210,A,TENAHA ISD,A,'07
'210905,SHELBY,'210,R,TIMPSON ISD,A,'07
'210906,SHELBY,'210,A,EXCELSIOR ISD,A,'07
'211901,SHERMAN,'211,,TEXHOMA ISD,R,'16
'211902,SHERMAN,'211,A,STRATFORD ISD,R,'16
'212801,SMITH,'212,,ACADEMY OF SKILLS & KNOWLEDGE,C,'07
'212802,SMITH,'212,,EAGLE PROJECT (TYLER),C,'07
'212901,SMITH,'212,,ARP ISD,A,'07
'212902,SMITH,'212,,BULLARD ISD,A,'07
'212903,SMITH,'212,R,LINDALE ISD,R,'07
'212904,SMITH,'212,TRA,TROUP ISD,A,'07
'212905,SMITH,'212,,TYLER ISD,A,'07
'212906,SMITH,'212,RA,WHITEHOUSE ISD,A,'07
'212909,SMITH,'212,,CHAPEL HILL ISD,A,'07
'212910,SMITH,'212,R,WINONA ISD,A,'07
'213801,SOMERVELL,'213,,BRAZOS RIVER CHARTER SCHOOL,C,'11
'213901,SOMERVELL,'213,RA,GLEN ROSE ISD,R,'11
'214901,STARR,'214,,RIO GRANDE CITY CISD,A,'01
'214902,STARR,'214,RA,SAN ISIDRO ISD,E,'01
'214903,STARR,'214,RA,ROMA ISD,A,'01
'215901,STEPHENS,'215,R,BRECKENRIDGE ISD,A,'14
'216901,STERLING,'216,A,STERLING CITY ISD,R,'15
'217901,STONEWALL,'217,RA,ASPERMONT ISD,E,'14
'218901,SUTTON,'218,A,SONORA ISD,R,'15
'219901,SWISHER,'219,RA,HAPPY ISD,R,'16
'219903,SWISHER,'219,R,TULIA ISD,R,'16
'219905,SWISHER,'219,A,KRESS ISD,R,'16
'220801,TARRANT,'220,,TREETOPS SCHOOL INTERNATIONAL,C,'11
'220802,TARRANT,'220,,ARLINGTON CLASSICS ACADEMY,C,'11
'220803,TARRANT,'220,,ERATH EXCELS ACADEMY INC,C,'11
'220804,TARRANT,'220,,FORT WORTH CAN ACADEMY,C,'11
'220806,TARRANT,'220,,THERESA B LEE ACADEMY,C,'11
'220807,TARRANT,'220,,EAGLE PROJECT (FT WORTH),C,'11
'220901,TARRANT,'220,R,ARLINGTON ISD,A,'11
'220902,TARRANT,'220,R,BIRDVILLE ISD,R,'11
'220904,TARRANT,'220,R,EVERMAN ISD,R,'11
'220905,TARRANT,'220,,FORT WORTH ISD,A,'11
'220906,TARRANT,'220,R,GRAPEVINE-COLLEYVILLE ISD,R,'11
'220907,TARRANT,'220,R,KELLER ISD,R,'11
'220908,TARRANT,'220,R,MANSFIELD ISD,A,'11
'220909,TARRANT,'220,A,MASONIC HOME ISD,R,'11
'220910,TARRANT,'220,,LAKE WORTH ISD,A,'11
'220912,TARRANT,'220,,CROWLEY ISD,R,'11
'220914,TARRANT,'220,,KENNEDALE ISD,R,'11
'220915,TARRANT,'220,,AZLE ISD,R,'11
'220916,TARRANT,'220,R,HURST-EULESS-BEDFORD ISD,R,'11
'220917,TARRANT,'220,,CASTLEBERRY ISD,A,'11
'220918,TARRANT,'220,R,EAGLE MT-SAGINAW ISD,A,'11
'220919,TARRANT,'220,R,CARROLL ISD,E,'11
'220920,TARRANT,'220,,WHITE SETTLEMENT ISD,R,'11
'221801,TAYLOR,'221,,EAGLE PROJECT (ABILENE),C,'14
'221901,TAYLOR,'221,,ABILENE ISD,R,'14
'221904,TAYLOR,'221,RA,MERKEL ISD,E,'14
'221905,TAYLOR,'221,A,TRENT ISD,A,'14
'221911,TAYLOR,'221,,JIM NED CONS ISD,R,'14
'221912,TAYLOR,'221,R,WYLIE ISD,E,'14
'222901,TERRELL,'222,TR,TERRELL COUNTY ISD,E,'18
'223901,TERRY,'223,,BROWNFIELD ISD,A,'17
'223902,TERRY,'223,A,MEADOW ISD,A,'17
'223904,TERRY,'223,TA,WELLMAN-UNION CONS ISD,E,'17
'224901,THROCKMORTON,'224,RA,THROCKMORTON ISD,E,'09
'224902,THROCKMORTON,'224,RA,WOODSON ISD,E,'09
'225902,TITUS,'225,,MOUNT PLEASANT ISD,A,'08
'225905,TITUS,'225,A,WINFIELD ISD,A,'08
'225906,TITUS,'225,,CHAPEL HILL ISD,R,'08
'225907,TITUS,'225,A,HARTS BLUFF ISD,A,'08
'226901,TOM GREEN,'226,R,CHRISTOVAL ISD,R,'15
'226903,TOM GREEN,'226,,SAN ANGELO ISD,A,'15
'226905,TOM GREEN,'226,R,WATER VALLEY ISD,R,'15
'226906,TOM GREEN,'226,A,WALL ISD,R,'15
'226907,TOM GREEN,'226,R,GRAPE CREEK ISD,A,'15
'226908,TOM GREEN,'226,RA,VERIBEST ISD,A,'15
'227801,TRAVIS,'227,,AMERICAN YOUTH WORKS CHARTER SCHOO,C,'13
'227802,TRAVIS,'227,,TEXAS ACADEMY OF EXCELLENCE,C,'13
'227803,TRAVIS,'227,,EDEN PARK ACADEMY,C,'13
'227804,TRAVIS,'227,,NYOS CHARTER SCHOOL,C,'13
'227805,TRAVIS,'227,,TEXAS EMPOWERMENT ACADEMY,C,'13
'227806,TRAVIS,'227,,UNIVERSITY CHARTER SCHOOL,C,'13
'227810,TRAVIS,'227,,KENNY DORHAM SCHOOL FOR THE PERFOR,C,'13
'227811,TRAVIS,'227,,MCCULLOUGH ACADEMY OF EXCELLENCE,C,'13
'227812,TRAVIS,'227,,FRUIT OF EXCELLENCE,C,'13
'227814,TRAVIS,'227,,STAR CHARTER SCHOOL,C,'13
'227901,TRAVIS,'227,,AUSTIN ISD,A,'13
'227904,TRAVIS,'227,R,PFLUGERVILLE ISD,R,'13
'227907,TRAVIS,'227,,MANOR ISD,A,'13
'227909,TRAVIS,'227,CTA,EANES ISD,R,'13
'227910,TRAVIS,'227,,DEL VALLE ISD,R,'13
'227912,TRAVIS,'227,,LAGO VISTA ISD,A,'13
'227913,TRAVIS,'227,R,LAKE TRAVIS ISD,A,'13
'228901,TRINITY,'228,R,GROVETON ISD,A,'06
'228903,TRINITY,'228,R,TRINITY ISD,A,'06
'228904,TRINITY,'228,R,CENTERVILLE ISD,A,'06
'228905,TRINITY,'228,A,APPLE SPRINGS ISD,E,'06
'229901,TYLER,'229,R,COLMESNEIL ISD,R,'05
'229903,TYLER,'229,,WOODVILLE ISD,A,'05
'229904,TYLER,'229,R,WARREN ISD,R,'05
'229905,TYLER,'229,R,SPURGER ISD,R,'05
'229906,TYLER,'229,,CHESTER ISD,R,'05
'230901,UPSHUR,'230,A,BIG SANDY ISD,R,'07
'230902,UPSHUR,'230,,GILMER ISD,R,'07
'230903,UPSHUR,'230,R,ORE CITY ISD,E,'07
'230904,UPSHUR,'230,RA,UNION HILL ISD,E,'07
'230905,UPSHUR,'230,A,HARMONY ISD,R,'07
'230906,UPSHUR,'230,TRA,NEW DIANA ISD,E,'07
'230908,UPSHUR,'230,,UNION GROVE ISD,R,'07
'231901,UPTON,'231,,MCCAMEY ISD,R,'18
'231902,UPTON,'231,,RANKIN ISD,R,'18
'232801,UVALDE,'232,,GABRIEL TAFOLLA CHARTER SCHOOL,C,'20
'232901,UVALDE,'232,TRA,KNIPPA ISD,E,'20
'232902,UVALDE,'232,RA,SABINAL ISD,A,'20
'232903,UVALDE,'232,,UVALDE CONS ISD,A,'20
'232904,UVALDE,'232,A,UTOPIA ISD,E,'20
'233801,VAL VERDE,'233,,EAGLE PROJECT (DEL RIO),C,'15
'233901,VAL VERDE,'233,,SAN FELIPE-DEL RIO CONS ISD,R,'15
'233903,VAL VERDE,'233,RA,COMSTOCK ISD,R,'15
'234801,VAN ZANDT,'234,,RANCH ACADEMY,C,'07
'234902,VAN ZANDT,'234,A,CANTON ISD,E,'10
'234903,VAN ZANDT,'234,A,EDGEWOOD ISD,R,'07
'234904,VAN ZANDT,'234,,GRAND SALINE ISD,R,'07
'234905,VAN ZANDT,'234,TRA,MARTINS MILL ISD,E,'07
'234906,VAN ZANDT,'234,R,VAN ISD,A,'07
'234907,VAN ZANDT,'234,,WILLS POINT ISD,A,'10
'234909,VAN ZANDT,'234,A,FRUITVALE ISD,R,'07
'235901,VICTORIA,'235,,BLOOMINGTON ISD,A,'03
'235902,VICTORIA,'235,,VICTORIA ISD,A,'03
'235904,VICTORIA,'235,A,NURSERY ISD,E,'03
'236801,WALKER,'236,,RAVEN SCHOOL,C,'06
'236901,WALKER,'236,,NEW WAVERLY ISD,R,'06
'236902,WALKER,'236,,HUNTSVILLE ISD,R,'06
'237902,WALLER,'237,,HEMPSTEAD ISD,A,'04
'237904,WALLER,'237,,WALLER ISD,A,'04
'237905,WALLER,'237,A,ROYAL ISD,A,'04
'238902,WARD,'238,R,MONAHANS-WICKETT-PYOTE ISD,A,'18
'238904,WARD,'238,A,GRANDFALLS-ROYALTY ISD,A,'18
'239901,WASHINGTON,'239,,BRENHAM ISD,A,'06
'239903,WASHINGTON,'239,R,BURTON ISD,A,'06
'240801,WEBB,'240,,GATEWAY (STUDENT ALTERNATIVE PROGR,C,'01
'240802,WEBB,'240,,EAGLE PROJECT (LAREDO II),C,'01
'240803,WEBB,'240,,SCAN CHARTER SCHOOL,C,'01
'240901,WEBB,'240,RA,LAREDO ISD,A,'01
'240902,WEBB,'240,A,MIRANDO CITY ISD,A,'01
'240903,WEBB,'240,R,UNITED ISD,A,'01
'240904,WEBB,'240,A,WEBB CONS ISD,E,'01
'241901,WHARTON,'241,R,BOLING ISD,R,'03
'241902,WHARTON,'241,R,EAST BERNARD ISD,R,'03
'241903,WHARTON,'241,,EL CAMPO ISD,R,'03
'241904,WHARTON,'241,,WHARTON ISD,R,'03
'241906,WHARTON,'241,RA,LOUISE ISD,R,'03
'242902,WHEELER,'242,R,SHAMROCK ISD,R,'16
'242903,WHEELER,'242,TRA,WHEELER ISD,R,'16
'242904,WHEELER,'242,TRA,ALLISON ISD,E,'16
'242905,WHEELER,'242,,KELTON ISD,A,'16
'242906,WHEELER,'242,TA,FORT ELLIOTT CONS ISD,E,'16
'243801,WICHITA,'243,,BRIGHT IDEAS CHARTER,C,'09
'243901,WICHITA,'243,,BURKBURNETT ISD,A,'09
'243902,WICHITA,'243,,ELECTRA ISD,A,'09
'243903,WICHITA,'243,R,IOWA PARK CONS ISD,R,'09
'243905,WICHITA,'243,,WICHITA FALLS ISD,A,'09
'243906,WICHITA,'243,,CITY VIEW ISD,A,'09
'244901,WILBARGER,'244,,HARROLD ISD,A,'09
'244903,WILBARGER,'244,,VERNON ISD,A,'09
'244905,WILBARGER,'244,RA,NORTHSIDE ISD,A,'09
'245901,WILLACY,'245,A,LASARA ISD,R,'01
'245902,WILLACY,'245,R,LYFORD CISD,A,'01
'245903,WILLACY,'245,R,RAYMONDVILLE ISD,A,'01
'245904,WILLACY,'245,A,SAN PERLITA ISD,A,'01
'246902,WILLIAMSON,'246,R,FLORENCE ISD,R,'13
'246904,WILLIAMSON,'246,,GEORGETOWN ISD,A,'13
'246905,WILLIAMSON,'246,R,GRANGER ISD,R,'13
'246906,WILLIAMSON,'246,A,HUTTO ISD,A,'13
'246907,WILLIAMSON,'246,R,JARRELL ISD,R,'13
'246908,WILLIAMSON,'246,R,LIBERTY HILL ISD,R,'13
'246909,WILLIAMSON,'246,R,ROUND ROCK ISD,R,'13
'246911,WILLIAMSON,'246,,TAYLOR ISD,A,'13
'246912,WILLIAMSON,'246,R,THRALL ISD,R,'13
'246913,WILLIAMSON,'246,,LEANDER ISD,R,'13
'246914,WILLIAMSON,'246,A,COUPLAND ISD,R,'13
'247901,WILSON,'247,,FLORESVILLE ISD,R,'20
'247903,WILSON,'247,TR,LA VERNIA ISD,R,'20
'247904,WILSON,'247,R,POTH ISD,R,'20
'247906,WILSON,'247,,STOCKDALE ISD,R,'20
'248901,WINKLER,'248,R,KERMIT ISD,A,'18
'248902,WINKLER,'248,A,WINK-LOVING ISD,R,'18
'249901,WISE,'249,RA,ALVORD ISD,R,'11
'249902,WISE,'249,R,BOYD ISD,A,'11
'249903,WISE,'249,R,BRIDGEPORT ISD,A,'11
'249904,WISE,'249,R,CHICO ISD,A,'11
'249905,WISE,'249,RA,DECATUR ISD,R,'11
'249906,WISE,'249,,PARADISE ISD,R,'11
'249908,WISE,'249,,SLIDELL ISD,R,'11
'250902,WOOD,'250,,HAWKINS ISD,A,'07
'250903,WOOD,'250,,MINEOLA ISD,A,'07
'250904,WOOD,'250,,QUITMAN ISD,R,'07
'250905,WOOD,'250,A,YANTIS ISD,A,'07
'250906,WOOD,'250,,ALBA-GOLDEN ISD,E,'07
'250907,WOOD,'250,R,WINNSBORO ISD,R,'07
'251901,YOAKUM,'251,A,DENVER CITY ISD,E,'17
'251902,YOAKUM,'251,TA,PLAINS ISD,E,'17
'252901,YOUNG,'252,R,GRAHAM ISD,A,'09
'252902,YOUNG,'252,,NEWCASTLE ISD,A,'09
'252903,YOUNG,'252,R,OLNEY ISD,R,'09
'253901,ZAPATA,'253,R,ZAPATA COUNTY ISD,A,'01
'254901,ZAVALA,'254,,CRYSTAL CITY ISD,A,'20
'254902,ZAVALA,'254,,LA PRYOR ISD,A,'20
