DISTRICT,CNTYNAME,COUNTY,DFLCHART,DFLYRE,DISTNAME,DSUPRATE,D_RATING,REGION,REGNNAME
'057910,DALLAS,'057,N,N,GRAND PRAIRIE ISD,NQ,R,'10,REGION 10: RICHARDSON
'057911,DALLAS,'057,N,N,HIGHLAND PARK ISD,AC,E,'10,REGION 10: RICHARDSON
'057912,DALLAS,'057,N,N,IRVING ISD,NQ,R,'10,REGION 10: RICHARDSON
'057913,DALLAS,'057,N,N,LANCASTER ISD,NQ,A,'10,REGION 10: RICHARDSON
'057914,DALLAS,'057,N,N,MESQUITE ISD,NQ,A,'10,REGION 10: RICHARDSON
'057916,DALLAS,'057,N,N,RICHARDSON ISD,NQ,A,'10,REGION 10: RICHARDSON
'057919,DALLAS,'057,N,N,SUNNYVALE ISD,NA,R,'10,REGION 10: RICHARDSON
'057920,DALLAS,'057,N,N,WILMER-HUTCHINS ISD,NE,L,'10,REGION 10: RICHARDSON
'057922,DALLAS,'057,N,N,COPPELL ISD,NQ,E,'10,REGION 10: RICHARDSON
'058902,DAWSON,'058,N,N,DAWSON,NQ,R,'17,REGION 17: LUBBOCK
'058905,DAWSON,'058,N,N,KLONDIKE ISD,NQ,A,'17,REGION 17: LUBBOCK
'058906,DAWSON,'058,N,N,LAMESA ISD,NQ,A,'17,REGION 17: LUBBOCK
'058909,DAWSON,'058,N,N,SANDS ISD,NA,E,'17,REGION 17: LUBBOCK
'059901,DEAF SMITH,'059,N,N,HEREFORD ISD,NQ,R,'16,REGION 16: AMARILLO
'059902,DEAF SMITH,'059,N,N,WALCOTT ISD,NA,A,'16,REGION 16: AMARILLO
'060902,DELTA,'060,N,N,COOPER ISD,NQ,A,'08,REGION 08: MT PLEASANT
'060914,DELTA,'060,N,N,FANNINDEL ISD,NQ,A,'08,REGION 08: MT PLEASANT
