DISTRICT,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,D_RATING,REGION,SECS
'067907,EASTLAND,'067,N,N,RANGER ISD,M,'14,
'067908,EASTLAND,'067,N,N,RISING STAR ISD,M,'14,
'068801,ECTOR,'068,Y,Y,RICHARD MILBURN ACADEMY (ECTOR COU,A,'18,B
'068802,ECTOR,'068,N,Y,COMPASS ACADEMY CHARTER SCHOOL,M,'18,
'068901,ECTOR,'068,N,N,ECTOR COUNTY ISD,M,'18,L
'069901,EDWARDS,'069,N,N,ROCKSPRINGS ISD,M,'15,
'069902,EDWARDS,'069,N,N,NUECES CANYON CISD,M,'15,D
'070801,ELLIS,'070,N,Y,WAXAHACHIE FAITH FAMILY ACADEMY,I,'10,
'070901,ELLIS,'070,N,N,AVALON ISD,M,'10,D
'070903,ELLIS,'070,N,N,ENNIS ISD,M,'10,B
'070905,ELLIS,'070,N,N,FERRIS ISD,M,'10,B
'070907,ELLIS,'070,N,N,ITALY ISD,M,'10,
'070908,ELLIS,'070,N,N,MIDLOTHIAN ISD,M,'10,
'070909,ELLIS,'070,N,N,MILFORD ISD,M,'10,
'070910,ELLIS,'070,N,N,PALMER ISD,M,'10,
'070911,ELLIS,'070,N,N,RED OAK ISD,M,'10,D
'070912,ELLIS,'070,N,N,WAXAHACHIE ISD,M,'10,B
'070915,ELLIS,'070,N,N,MAYPEARL ISD,M,'10,D
'071801,EL PASO,'071,N,Y,BURNHAM WOOD CHARTER SCHOOL DISTRI,M,'19,K
'071803,EL PASO,'071,Y,Y,PASO DEL NORTE ACADEMY CHARTER DIS,A,'19,
'071804,EL PASO,'071,Y,Y,EL PASO ACADEMY,I,'19,B
'071806,EL PASO,'071,N,Y,HARMONY SCIENCE ACAD (EL PASO),M,'19,
'071807,EL PASO,'071,N,Y,LA FE PREPARATORY SCHOOL,M,'19,
'071809,EL PASO,'071,N,Y,VISTA DEL FUTURO CHARTER SCHOOL,M,'19,
'071901,EL PASO,'071,N,N,CLINT ISD,M,'19,L
'071902,EL PASO,'071,N,N,EL PASO ISD,M,'19,
'071903,EL PASO,'071,N,N,FABENS ISD,M,'19,J
'071904,EL PASO,'071,N,N,SAN ELIZARIO ISD,M,'19,
'071905,EL PASO,'071,N,N,YSLETA ISD,M,'19,
'071906,EL PASO,'071,N,N,ANTHONY ISD,M,'19,
'071907,EL PASO,'071,N,N,CANUTILLO ISD,M,'19,
'071908,EL PASO,'071,N,N,TORNILLO ISD,M,'19,B
'071909,EL PASO,'071,N,N,SOCORRO ISD,M,'19,
'072801,ERATH,'072,Y,Y,PREMIER HIGH SCHOOLS,A,'11,B
