DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,D_RATING,REGION,dackdtl,secs
'197902,ROBERTS,'197,N,MIAMI ISD,E,'16,ARVJEMNS,
'108804,HIDALGO,'108,Y,MID-VALLEY ACADEMY,2,'01,,D
'165802,MIDLAND,'165,Y,MIDLAND ACADEMY CHARTER SCHOOL,R,'18,RUVJS,
'165901,MIDLAND,'165,N,MIDLAND ISD,L,'18,,
'070908,ELLIS,'070,N,MIDLOTHIAN ISD,A,'10,UVJWS,
'039905,CLAY,'039,N,MIDWAY ISD,R,'09,ARJM,B
'161903,MCLENNAN,'161,N,MIDWAY ISD,A,'12,UVEWS,
'166903,MILAM,'166,N,MILANO ISD,R,'06,AVWS,D
'175910,NAVARRO,'175,N,MILDRED ISD,A,'12,UVJ,D
'200902,RUNNELS,'200,N,MILES ISD,R,'15,VJS,
'070909,ELLIS,'070,N,MILFORD ISD,R,'10,ARUVS,D
'112907,HOPKINS,'112,N,MILLER GROVE ISD,R,'08,JW,
'184904,PARKER,'184,N,MILLSAP ISD,R,'11,AV,D
'250903,WOOD,'250,N,MINEOLA ISD,A,'07,VJW,D
'182903,PALO PINTO,'182,N,MINERAL WELLS ISD,R,'11,S,
'108908,HIDALGO,'108,N,MISSION CISD,R,'01,RW,B
'238902,WARD,'238,N,MONAHANS-WICKETT-PYOTE ISD,A,'18,W,
'169908,MONTAGUE,'169,N,MONTAGUE ISD,R,'09,AEW,
'108915,HIDALGO,'108,N,MONTE ALTO ISD,R,'01,AS,D
'170903,MONTGOMERY,'170,N,MONTGOMERY ISD,A,'06,PUW,
'161910,MCLENNAN,'161,N,MOODY ISD,A,'12,UJ,D
'209902,SHACKELFORD,'209,N,MORAN ISD,R,'14,AUVS,D
'018903,BOSQUE,'018,N,MORGAN ISD,R,'12,VE,B
'072910,ERATH,'072,N,MORGAN MILL ISD,R,'11,AEWMNS,
'040901,COCHRAN,'040,N,MORTON ISD,A,'17,,D
'173901,MOTLEY,'173,N,MOTLEY COUNTY ISD,R,'17,AR,B
'143902,LAVACA,'143,N,MOULTON ISD,R,'03,ADRUVJWNS,
'109910,HILL,'109,N,MOUNT CALM ISD,A,'12,A,
'201907,RUSK,'201,N,MOUNT ENTERPRISE ISD,A,'07,AUJ,B
'225902,TITUS,'225,N,MOUNT PLEASANT ISD,A,'08,,
'080901,FRANKLIN,'080,N,MOUNT VERNON ISD,R,'08,UVW,
'049902,COOKE,'049,N,MUENSTER ISD,E,'11,APUVJEWMNS,
'009901,BAILEY,'009,N,MULESHOE ISD,L,'17,,
'167902,MILLS,'167,N,MULLIN ISD,A,'12,VJ,D
'198906,ROBERTSON,'198,N,MUMFORD ISD,E,'06,ADUVEWS,D
'138903,KNOX,'138,N,MUNDAY CISD,L,'09,,D
'107908,HENDERSON,'107,N,MURCHISON ISD,R,'07,E,
'174904,NACOGDOCHES,'174,N,NACOGDOCHES ISD,A,'07,,B
'163903,MEDINA,'163,N,NATALIA ISD,R,'20,EWNS,
'094903,GUADALUPE,'094,N,NAVARRO ISD,A,'13,UVJW,
'093904,GRIMES,'093,N,NAVASOTA ISD,A,'06,,B
'035903,CASTRO,'035,N,NAZARETH ISD,E,'16,ADCRUVJEWMNS,
'001906,ANDERSON,'001,N,NECHES ISD,R,'07,AUWS,
'123905,JEFFERSON,'123,N,NEDERLAND ISD,A,'05,VJWS,B
'079906,FORT BEND,'079,N,NEEDVILLE ISD,R,'04,MS,
'019905,BOWIE,'019,N,NEW BOSTON ISD,A,'08,UVJ,B
'046901,COMAL,'046,N,NEW BRAUNFELS ISD,A,'13,PS,
'170908,MONTGOMERY,'170,N,NEW CANEY ISD,R,'06,S,
'152902,LUBBOCK,'152,N,NEW DEAL ISD,R,'17,ARUVJS,
'230906,UPSHUR,'230,N,NEW DIANA ISD,A,'07,UVJWS,D
'015805,BEXAR,'015,Y,NEW FRONTIERS CHARTER SCHOOL,A,'20,,
'153905,LYNN,'153,N,NEW HOME ISD,R,'17,DUVJW,B
'037908,CHEROKEE,'037,N,NEW SUMMERFIELD ISD,R,'07,ARV,
'236901,WALKER,'236,N,NEW WAVERLY ISD,A,'06,,
'252902,YOUNG,'252,N,NEWCASTLE ISD,E,'09,AUVJEMNS,
'176902,NEWTON,'176,N,NEWTON ISD,A,'05,,
'089903,GONZALES,'089,N,NIXON-SMILEY CISD,A,'13,RS,
'169902,MONTAGUE,'169,N,NOCONA ISD,R,'09,RUVJS,
'062902,DEWITT,'062,N,NORDHEIM ISD,A,'03,UWS,D
'145906,LEON,'145,N,NORMANGEE ISD,R,'06,RVJS,
'015910,BEXAR,'015,N,NORTH EAST ISD,R,'20,S,
'101909,HARRIS,'101,N,NORTH FOREST ISD,L,'04,,E
'057803,DALLAS,'057,Y,NORTH HILLS PREPARATORY SCHOOL,E,'10,ADPCRUVJEWMNS,
'112906,HOPKINS,'112,N,NORTH HOPKINS ISD,A,'08,US,
'101834,HARRIS,'101,Y,NORTH HOUSTON H S FOR BUSINESS,2,'04,,
'139911,LAMAR,'139,N,NORTH LAMAR ISD,R,'08,J,D
'154903,MADISON,'154,N,NORTH ZULCH ISD,A,'06,UJS,
'015915,BEXAR,'015,N,NORTHSIDE ISD,R,'20,UJS,
'244905,WILBARGER,'244,N,NORTHSIDE ISD,A,'09,ARUJS,
'061911,DENTON,'061,N,NORTHWEST ISD,R,'11,RJS,
'101848,HARRIS,'101,Y,NORTHWEST PREPARATORY,A,'04,AS,
'057809,DALLAS,'057,Y,NOVA ACADEMY,R,'10,A,
'057827,DALLAS,'057,Y,NOVA ACADEMY (SOUTHEAST),R,'10,,
'042906,COLEMAN,'042,N,NOVICE ISD,L,'15,,
'069902,EDWARDS,'069,N,NUECES CANYON CISD,R,'15,UJ,
'235904,VICTORIA,'235,N,NURSERY ISD,R,'03,EN,D
'227804,TRAVIS,'227,Y,NYOS CHARTER SCHOOL,R,'13,ADRUVJWS,
'153903,LYNN,'153,N,O'DONNELL ISD,A,'17,R,
'145907,LEON,'145,N,OAKWOOD ISD,A,'06,,
'205905,SAN PATRICIO,'205,N,ODEM-EDROY ISD,A,'02,,D
'084802,GALVESTON,'084,Y,ODYSSEY ACADEMY INC,R,'04,A,D
'050904,CORYELL,'050,N,OGLESBY ISD,R,'12,RUJ,D
'200906,RUNNELS,'200,N,OLFEN ISD,A,'15,WS,
'252903,YOUNG,'252,N,OLNEY ISD,A,'09,UVJWS,
'140905,LAMB,'140,N,OLTON ISD,A,'17,RJ,
'187910,POLK,'187,N,ONALASKA ISD,R,'06,J,B
'108801,HIDALGO,'108,Y,ONE STOP MULTISERVICE CHARTER SCHO,2,'01,,
'125903,JIM WELLS,'125,N,ORANGE GROVE ISD,A,'02,UWS,D
'181905,ORANGE,'181,N,ORANGEFIELD ISD,R,'05,UVJ,
'230903,UPSHUR,'230,N,ORE CITY ISD,E,'07,V,
'014804,BELL,'014,Y,ORENDA CHARTER SCHOOL,2,'12,,
'235801,VICTORIA,'235,Y,OUTREACH ACADEMY,A,'03,,
'201908,RUSK,'201,N,OVERTON ISD,A,'07,R,D
'051901,COTTLE,'051,N,PADUCAH ISD,A,'17,,D
'104907,HASKELL,'104,N,PAINT CREEK ISD,R,'14,EWMNS,
'048903,CONCHO,'048,N,PAINT ROCK ISD,R,'15,UVJS,
'158905,MATAGORDA,'158,N,PALACIOS ISD,R,'03,ARUVJEWM,
'001907,ANDERSON,'001,N,PALESTINE ISD,A,'07,,L
'070910,ELLIS,'070,N,PALMER ISD,R,'10,UVJE,
'182906,PALO PINTO,'182,N,PALO PINTO ISD,E,'11,AEWMN,
'090904,GRAY,'090,N,PAMPA ISD,A,'16,,
'033902,CARSON,'033,N,PANHANDLE ISD,R,'16,AUJS,D
'183801,PANOLA,'183,Y,PANOLA CHARTER SCHOOL,1,'07,,D
'042905,COLEMAN,'042,N,PANTHER CREEK CISD,R,'15,UVJEWMS,
'072801,ERATH,'072,Y,PARADIGM ACCELERATED CHARTER SCHOO,1,'11,,D
'249906,WISE,'249,N,PARADISE ISD,R,'11,RUJWS,
'139909,LAMAR,'139,N,PARIS ISD,L,'08,,D
'101917,HARRIS,'101,N,PASADENA ISD,A,'04,,
'071803,EL PASO,'071,Y,PASO DEL NORTE,1,'19,DR,B
'063906,DICKENS,'063,N,PATTON SPRINGS ISD,E,'17,ADRUVEWMS,D
'013902,BEE,'013,N,PAWNEE ISD,R,'02,ANS,
'057838,DALLAS,'057,Y,PEAK PREPARATORY SCHOOL,E,'10,AUVEWMS,
'020908,BRAZORIA,'020,N,PEARLAND ISD,R,'04,UWS,
'082903,FRIO,'082,N,PEARSALL ISD,L,'20,,L
'184908,PARKER,'184,N,PEASTER ISD,R,'11,PVJ,
'195901,REEVES,'195,N,PECOS-BARSTOW-TOYAH ISD,A,'18,,D
'057802,DALLAS,'057,Y,PEGASUS SCHOOL OF LIBERAL ARTS AND,1,'10,ADRUVJS,
'109914,HILL,'109,N,PENELOPE ISD,A,'12,ARJW,
'119903,JACK,'119,N,PERRIN-WHITT CISD,A,'09,PRUVJWS,
'179901,OCHILTREE,'179,N,PERRYTON ISD,A,'16,AVJ,H
'095904,HALE,'095,N,PETERSBURG ISD,A,'17,ARVW,B
'039903,CLAY,'039,N,PETROLIA ISD,E,'09,UMNS,
'013903,BEE,'013,N,PETTUS ISD,A,'02,VJW,
'172905,MORRIS,'172,N,PEWITT CISD,A,'08,J,B
'227904,TRAVIS,'227,N,PFLUGERVILLE ISD,A,'13,S,
'108909,HIDALGO,'108,N,PHARR-SAN JUAN-ALAMO ISD,A,'01,DRW,D
'116801,HUNT,'116,Y,PHOENIX CHARTER SCHOOL,A,'10,R,D
'061903,DENTON,'061,N,PILOT POINT ISD,A,'11,UVJS,
'092904,GREGG,'092,N,PINE TREE ISD,A,'07,,F
'003801,ANGELINA,'003,Y,PINEYWOODS COMMUNITY ACADEMY,A,'07,S,
'032902,CAMP,'032,N,PITTSBURG ISD,R,'08,,B
'251902,YOAKUM,'251,N,PLAINS ISD,R,'17,ARUVJES,B
'095905,HALE,'095,N,PLAINVIEW ISD,A,'17,,A
'043910,COLLIN,'043,N,PLANO ISD,A,'10,APJS,
'019912,BOWIE,'019,N,PLEASANT GROVE ISD,R,'08,UVJEW,B
'007905,ATASCOSA,'007,N,PLEASANTON ISD,A,'20,,A
'117904,HUTCHINSON,'117,N,PLEMONS-STINNETT-PHILLIPS CISD,R,'16,UVJWS,
'031909,CAMERON,'031,N,POINT ISABEL ISD,R,'01,DRUWS,B
'061906,DENTON,'061,N,PONDER ISD,R,'11,UVJS,D
'184901,PARKER,'184,N,POOLVILLE ISD,R,'11,S,
'015801,BEXAR,'015,Y,POR VIDA ACADEMY,1,'20,,L
'178908,NUECES,'178,N,PORT ARANSAS ISD,E,'02,DPCUJWS,
'123907,JEFFERSON,'123,N,PORT ARTHUR ISD,A,'05,R,H
'123908,JEFFERSON,'123,N,PORT NECHES-GROVES ISD,R,'05,JWS,
'015814,BEXAR,'015,Y,POSITIVE SOLUTIONS CHARTER SCHOOL,1,'20,,D
'085902,GARZA,'085,N,POST ISD,R,'17,PUJW,
'007906,ATASCOSA,'007,N,POTEET ISD,A,'20,U,B
'247904,WILSON,'247,N,POTH ISD,R,'20,UVJW,A
'091913,GRAYSON,'091,N,POTTSBORO ISD,R,'10,UJEWS,
'028906,CALDWELL,'028,N,PRAIRIE LEA ISD,A,'13,ARUV,
'169909,MONTAGUE,'169,N,PRAIRIE VALLEY ISD,E,'09,AUVJEWMNS,B
'139912,LAMAR,'139,N,PRAIRILAND ISD,A,'08,VJEWS,
'125905,JIM WELLS,'125,N,PREMONT ISD,L,'02,,F
'189902,PRESIDIO,'189,N,PRESIDIO ISD,R,'18,PRS,B
'167904,MILLS,'167,N,PRIDDY ISD,A,'12,ACUVJEMS,
'043911,COLLIN,'043,N,PRINCETON ISD,R,'10,UWS,
'098903,HANSFORD,'098,N,PRINGLE-MORSE CISD,R,'16,AWMNS,
'108910,HIDALGO,'108,N,PROGRESO ISD,R,'01,DRS,D
'043912,COLLIN,'043,N,PROSPER ISD,R,'10,APCRUVJES,
'099903,HARDEMAN,'099,N,QUANAH ISD,A,'09,US,
'034907,CASS,'034,N,QUEEN CITY ISD,A,'08,J,B
'116908,HUNT,'116,N,QUINLAN ISD,L,'10,,D
'250904,WOOD,'250,N,QUITMAN ISD,R,'07,UJWS,D
'015815,BEXAR,'015,Y,RADIANCE ACADEMY OF LEARNING,1,'20,J,
'190903,RAINS,'190,N,RAINS ISD,R,'07,UVJES,
'054903,CROSBY,'054,N,RALLS ISD,A,'17,J,
'066005,DUVAL,'066,N,RAMIREZ CSD,E,'02,WM,
'234801,VAN ZANDT,'234,Y,RANCH ACADEMY,1,'07,AJS,
'015906,BEXAR,'015,N,RANDOLPH FIELD ISD,R,'20,APCUVJEWM,
'067907,EASTLAND,'067,N,RANGER ISD,R,'14,W,A
'231902,UPTON,'231,N,RANKIN ISD,R,'18,ADJWS,D
'161802,MCLENNAN,'161,Y,RAPOPORT ACADEMY PUBLIC SCHOOL,R,'12,UVS,
'101806,HARRIS,'101,Y,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,R,'04,ARV,
'236801,WALKER,'236,Y,RAVEN SCHOOL,3,'06,,
'245903,WILLACY,'245,N,RAYMONDVILLE ISD,A,'01,,
'192901,REAGAN,'192,N,REAGAN COUNTY ISD,A,'18,RUVJ,
'057841,DALLAS,'057,Y,RECONCILIATION ACADEMY,X,'10,,
'019911,BOWIE,'019,N,RED LICK ISD,E,'08,AEWMNS,
'070911,ELLIS,'070,N,RED OAK ISD,A,'10,,
'019906,BOWIE,'019,N,REDWATER ISD,R,'08,UVJ,D
'196903,REFUGIO,'196,N,REFUGIO ISD,L,'03,,D
'221801,TAYLOR,'221,Y,RESPONSIVE EDUCATION SOLUTIONS,1,'14,,
'137902,KLEBERG,'137,N,RICARDO ISD,R,'02,AW,
'045903,COLORADO,'045,N,RICE CISD,A,'03,,D
'175911,NAVARRO,'175,N,RICE ISD,R,'12,AV,
'188801,POTTER,'188,Y,RICHARD MILBURN ACADEMY (AMARILLO),2,'16,,
'123804,JEFFERSON,'123,Y,RICHARD MILBURN ACADEMY (BEAUMONT),1,'05,R,
'068801,ECTOR,'068,Y,RICHARD MILBURN ACADEMY (ECTOR COU,1,'18,,D
'220812,TARRANT,'220,Y,RICHARD MILBURN ACADEMY (FORT WORT,1,'11,,D
'101854,HARRIS,'101,Y,RICHARD MILBURN ACADEMY (SUBURBAN,2,'04,,D
'014801,BELL,'014,Y,RICHARD MILBURN ALTER HIGH SCHOOL,1,'12,,
'178804,NUECES,'178,Y,RICHARD MILBURN ALTER HIGH SCHOOL,1,'02,R,D
'093905,GRIMES,'093,N,RICHARDS ISD,R,'06,UVJ,
'057916,DALLAS,'057,N,RICHARDSON ISD,R,'10,JMS,
'057840,DALLAS,'057,Y,RICHLAND COLLEGIATE HS OF MATH SCI,E,'10,DRUVJES,
'206902,SAN SABA,'206,N,RICHLAND SPRINGS ISD,A,'15,U,D
'161912,MCLENNAN,'161,N,RIESEL ISD,R,'12,AUVJEWS,
'214901,STARR,'214,N,RIO GRANDE CITY CISD,R,'01,RWS,A
'031911,CAMERON,'031,N,RIO HONDO ISD,A,'01,,B
'126907,JOHNSON,'126,N,RIO VISTA ISD,R,'11,JS,
'101853,HARRIS,'101,Y,RIPLEY HOUSE CHARTER SCHOOL,E,'04,AMN,D
'152802,LUBBOCK,'152,Y,RISE ACADEMY,E,'17,AEWMNS,
'067908,EASTLAND,'067,N,RISING STAR ISD,R,'14,AJEWMS,
'188902,POTTER,'188,N,RIVER ROAD ISD,A,'16,RJ,
'194903,RED RIVER,'194,N,RIVERCREST ISD,R,'08,JS,
'137903,KLEBERG,'137,N,RIVIERA ISD,A,'02,R,B
'041902,COKE,'041,N,ROBERT LEE ISD,E,'15,ARVJENS,
'161922,MCLENNAN,'161,N,ROBINSON ISD,A,'12,UVJ,
'178909,NUECES,'178,N,ROBSTOWN ISD,L,'02,,D
'076903,FISHER,'076,N,ROBY CISD,E,'14,ARUVWNS,
'160904,MCCULLOCH,'160,N,ROCHELLE ISD,A,'15,AJS,
'166904,MILAM,'166,N,ROCKDALE ISD,A,'06,VJ,
'069901,EDWARDS,'069,N,ROCKSPRINGS ISD,A,'15,AJ,L
'199901,ROCKWALL,'199,N,ROCKWALL ISD,R,'10,AEWS,
'014907,BELL,'014,N,ROGERS ISD,A,'12,UVJ,D
'214903,STARR,'214,N,ROMA ISD,A,'01,RVS,B
'152908,LUBBOCK,'152,N,ROOSEVELT ISD,R,'17,AJWS,
'110905,HOCKLEY,'110,N,ROPES ISD,A,'17,AUVJW,
'177901,NOLAN,'177,N,ROSCOE ISD,R,'14,S,B
'073905,FALLS,'073,N,ROSEBUD-LOTT ISD,L,'12,,D
'076904,FISHER,'076,N,ROTAN ISD,A,'14,JW,
'246909,WILLIAMSON,'246,N,ROUND ROCK ISD,R,'13,PJS,
'075908,FAYETTE,'075,N,ROUND TOP-CARMINE ISD,E,'13,ADUVJEWNS,
'139908,LAMAR,'139,N,ROXTON ISD,A,'08,AVEW,D
'237905,WALLER,'237,N,ROYAL ISD,A,'04,,A
'199902,ROCKWALL,'199,N,ROYSE CITY ISD,A,'10,UJ,
'104903,HASKELL,'104,N,RULE ISD,A,'14,RUS,
'128903,KARNES,'128,N,RUNGE ISD,R,'03,RVS,
'037907,CHEROKEE,'037,N,RUSK ISD,A,'07,UVJ,D
'091914,GRAYSON,'091,N,S AND S CISD,R,'10,UJS,
'232902,UVALDE,'232,N,SABINAL ISD,A,'20,,
'092906,GREGG,'092,N,SABINE ISD,A,'07,AUVJS,
'123913,JEFFERSON,'123,N,SABINE PASS ISD,E,'05,RUVJEMS,
'227823,TRAVIS,'227,Y,SAILL,A,'13,,G
'169911,MONTAGUE,'169,N,SAINT JO ISD,R,'09,VJWS,
'014908,BELL,'014,N,SALADO ISD,A,'12,ARUVJWS,
'112909,HOPKINS,'112,N,SALTILLO ISD,R,'08,AUVJS,D
'074917,FANNIN,'074,N,SAM RAYBURN ISD,R,'10,UVJEWMNS,
'044904,COLLINGSWORTH,'044,N,SAMNORWOOD ISD,R,'16,ARW,
'226903,TOM GREEN,'226,N,SAN ANGELO ISD,A,'15,S,D
'015817,BEXAR,'015,Y,SAN ANTONIO CAN HIGH SCHOOL,2,'20,,L
'015907,BEXAR,'015,N,SAN ANTONIO ISD,L,'20,,
'015824,BEXAR,'015,Y,SAN ANTONIO PREPARATORY ACADEMY,L,'20,,
'015820,BEXAR,'015,Y,SAN ANTONIO SCHOOL FOR INQUIRY & C,1,'20,AR,B
'015823,BEXAR,'015,Y,SAN ANTONIO TECHNOLOGY ACADEMY,1,'20,,
'203901,SAN AUGUSTINE,'203,N,SAN AUGUSTINE ISD,A,'07,,
'031912,CAMERON,'031,N,SAN BENITO CISD,A,'01,RW,H
'066902,DUVAL,'066,N,SAN DIEGO ISD,A,'02,,B
'071904,EL PASO,'071,N,SAN ELIZARIO ISD,A,'19,AR,L
'233901,VAL VERDE,'233,N,SAN FELIPE-DEL RIO CISD,A,'15,,
'214902,STARR,'214,N,SAN ISIDRO ISD,R,'01,AVEW,
'105902,HAYS,'105,N,SAN MARCOS CISD,L,'13,,
'245904,WILLACY,'245,N,SAN PERLITA ISD,R,'01,US,B
'206901,SAN SABA,'206,N,SAN SABA ISD,A,'15,UJWS,
'022903,BREWSTER,'022,N,SAN VICENTE ISD,A,'18,AEWN,
'058909,DAWSON,'058,N,SANDS CISD,E,'17,AVJWMNS,D
'117903,HUTCHINSON,'117,N,SANFORD-FRITCH ISD,A,'16,W,B
'061908,DENTON,'061,N,SANGER ISD,A,'11,UVJS,
'042903,COLEMAN,'042,N,SANTA ANNA ISD,A,'15,AU,
'084909,GALVESTON,'084,N,SANTA FE ISD,A,'04,,
'137904,KLEBERG,'137,N,SANTA GERTRUDIS ISD,R,'02,RVW,
'031913,CAMERON,'031,N,SANTA MARIA ISD,A,'01,AR,
'031914,CAMERON,'031,N,SANTA ROSA ISD,A,'01,D,
'182904,PALO PINTO,'182,N,SANTO ISD,R,'11,AUVJ,
'074911,FANNIN,'074,N,SAVOY ISD,R,'10,UJEWMS,D
'094902,GUADALUPE,'094,N,SCHERTZ-CIBOLO-U CITY ISD,R,'13,JS,
'207901,SCHLEICHER,'207,N,SCHLEICHER ISD,R,'15,,A
'015806,BEXAR,'015,Y,SCHOOL OF EXCELLENCE IN EDUCATION,A,'20,R,A
'015827,BEXAR,'015,Y,SCHOOL OF SCIENCE AND TECHNOLOGY,L,'20,,
'015831,BEXAR,'015,Y,SCHOOL OF SCIENCE AND TECHNOLOGY D,R,'20,E,
'075903,FAYETTE,'075,N,SCHULENBURG ISD,A,'13,AUVJS,D
'129910,KAUFMAN,'129,N,SCURRY-ROSSER ISD,R,'10,UJWS,
'083901,GAINES,'083,N,SEAGRAVES ISD,A,'17,UJ,A
'008902,AUSTIN,'008,N,SEALY ISD,A,'06,A,
'178802,NUECES,'178,Y,SEASHORE LEARNING CTR CHARTER,E,'02,AEWM,
'178808,NUECES,'178,Y,SEASHORE MIDDLE ACAD,E,'02,AEWMNS,
'094901,GUADALUPE,'094,N,SEGUIN ISD,R,'13,,
'083903,GAINES,'083,N,SEMINOLE ISD,R,'17,JWS,A
'101802,HARRIS,'101,Y,SER-NINOS CHARTER SCHOOL,R,'04,AWMS,
'012901,BAYLOR,'012,N,SEYMOUR ISD,R,'09,UVJWS,
'152909,LUBBOCK,'152,N,SHALLOWATER ISD,R,'17,RUVJS,D
'242902,WHEELER,'242,N,SHAMROCK ISD,A,'16,JS,
'108911,HIDALGO,'108,N,SHARYLAND ISD,R,'01,ARUEWMS,B
'015819,BEXAR,'015,Y,SHEKINAH RADIANCE ACADEMY,1,'20,,B
'210903,SHELBY,'210,N,SHELBYVILLE ISD,A,'07,UJ,
'101924,HARRIS,'101,N,SHELDON ISD,A,'04,,L
'204904,SAN JACINTO,'204,N,SHEPHERD ISD,A,'06,,
'091906,GRAYSON,'091,N,SHERMAN ISD,A,'10,US,
'143903,LAVACA,'143,N,SHINER ISD,R,'03,AUVJW,
'047905,COMANCHE,'047,N,SIDNEY ISD,R,'14,AUVEW,
'115902,HUDSPETH,'115,N,SIERRA BLANCA ISD,A,'19,R,
'100904,HARDIN,'100,N,SILSBEE ISD,A,'05,,
'023902,BRISCOE,'023,N,SILVERTON ISD,E,'16,DRUVJEWMNS,
'019909,BOWIE,'019,N,SIMMS ISD,A,'08,RU,B
'205906,SAN PATRICIO,'205,N,SINTON ISD,R,'02,JS,
'049909,COOKE,'049,N,SIVELLS BEND ISD,E,'11,NS,
'013905,BEE,'013,N,SKIDMORE-TYNAN ISD,E,'02,UVJWS,B
'152903,LUBBOCK,'152,N,SLATON ISD,R,'17,AJS,B
'249908,WISE,'249,N,SLIDELL ISD,R,'11,AJE,D
'001909,ANDERSON,'001,N,SLOCUM ISD,E,'07,UVJEWS,
'011904,BASTROP,'011,N,SMITHVILLE ISD,A,'13,,
'110906,HOCKLEY,'110,N,SMYER ISD,R,'17,ADRJ,
'026903,BURLESON,'026,N,SNOOK ISD,A,'06,VJ,
'208902,SCURRY,'208,N,SNYDER ISD,A,'14,,
'071909,EL PASO,'071,N,SOCORRO ISD,R,'19,RS,
'015909,BEXAR,'015,N,SOMERSET ISD,A,'20,,
'026902,BURLESON,'026,N,SOMERVILLE ISD,A,'06,S,B
'218901,SUTTON,'218,N,SONORA ISD,R,'15,U,B
'152803,LUBBOCK,'152,Y,SOUTH PLAINS,1,'17,,D
'015908,BEXAR,'015,N,SOUTH SAN ANTONIO ISD,L,'20,,
'031916,CAMERON,'031,N,SOUTH TEXAS ISD,E,'01,ADPRUVJEWMS,
'085903,GARZA,'085,N,SOUTHLAND ISD,A,'17,AS,
'015917,BEXAR,'015,N,SOUTHSIDE ISD,A,'20,,
'015912,BEXAR,'015,N,SOUTHWEST ISD,A,'20,,
'015807,BEXAR,'015,Y,SOUTHWEST PREPARATORY SCHOOL,2,'20,,H
'101838,HARRIS,'101,Y,SOUTHWEST SCHOOL,L,'04,,B
'098904,HANSFORD,'098,N,SPEARMAN ISD,R,'16,ARS,D
'170907,MONTGOMERY,'170,N,SPLENDORA ISD,A,'06,S,
'101920,HARRIS,'101,N,SPRING BRANCH ISD,A,'04,S,
'117907,HUTCHINSON,'117,N,SPRING CREEK ISD,E,'16,EMN,
'092907,GREGG,'092,N,SPRING HILL ISD,A,'07,RUVJ,D
'101919,HARRIS,'101,N,SPRING ISD,A,'04,R,
'140907,LAMB,'140,N,SPRINGLAKE-EARTH ISD,A,'17,UJW,B
'184902,PARKER,'184,N,SPRINGTOWN ISD,R,'11,U,B
'063903,DICKENS,'063,N,SPUR ISD,A,'17,UW,
'229905,TYLER,'229,N,SPURGER ISD,R,'05,JS,
'057836,DALLAS,'057,Y,ST ANTHONY SCHOOL,R,'10,A,
'013801,BEE,'013,Y,ST MARY'S ACADEMY CHARTER SCHOOL,E,'02,AEWMN,
'079910,FORT BEND,'079,N,STAFFORD MSD,A,'04,U,L
'127906,JONES,'127,N,STAMFORD ISD,R,'14,UJ,
'156902,MARTIN,'156,N,STANTON ISD,A,'18,VJ,
'227814,TRAVIS,'227,Y,STAR CHARTER SCHOOL,E,'13,AUVJEWMNS,
'167903,MILLS,'167,N,STAR ISD,L,'12,,
'174801,NACOGDOCHES,'174,Y,STEPHEN F AUSTIN STATE UNIVERSITY,E,'07,EWMN,
'072903,ERATH,'072,N,STEPHENVILLE,A,'11,P,
'101859,HARRIS,'101,Y,STEPPING STONES CHARTER EL,E,'04,AM,
'216901,STERLING,'216,N,STERLING CITY ISD,R,'15,AUVJW,B
'247906,WILSON,'247,N,STOCKDALE ISD,R,'20,RJEW,
'211902,SHERMAN,'211,N,STRATFORD ISD,R,'16,ARVJWS,
'182905,PALO PINTO,'182,N,STRAWN ISD,R,'11,AVWS,
'140908,LAMB,'140,N,SUDAN ISD,R,'17,UVJEWS,
'112910,HOPKINS,'112,N,SULPHUR BLUFF ISD,R,'08,AVWS,
'112901,HOPKINS,'112,N,SULPHUR SPRINGS ISD,A,'08,,B
'220816,TARRANT,'220,Y,SUMMIT INTERNATIONAL PREPARATORY,R,'11,S,
'110907,HOCKLEY,'110,N,SUNDOWN ISD,R,'17,UVJEMS,A
'057919,DALLAS,'057,N,SUNNYVALE ISD,E,'10,AEWMNS,
'171902,MOORE,'171,N,SUNRAY ISD,A,'16,ARUVJ,B
'020906,BRAZORIA,'020,N,SWEENY ISD,R,'04,RU,
'143905,LAVACA,'143,N,SWEET HOME ISD,E,'03,AEWMNS,
'177902,NOLAN,'177,N,SWEETWATER ISD,A,'14,,
'205907,SAN PATRICIO,'205,N,TAFT ISD,A,'02,,B
'153904,LYNN,'153,N,TAHOKA ISD,R,'17,RJ,B
'146907,LIBERTY,'146,N,TARKINGTON ISD,A,'04,JS,
'201910,RUSK,'201,N,TATUM ISD,R,'07,UV,
'246911,WILLIAMSON,'246,N,TAYLOR ISD,A,'13,,D
'081904,FREESTONE,'081,N,TEAGUE ISD,A,'12,UJ,B
'108802,HIDALGO,'108,Y,TECHNOLOGY EDUCATION CHARTER HIGH,A,'01,AE,
'123803,JEFFERSON,'123,Y,TEKOA ACADEMY OF ACCELERATED STUDI,R,'05,DMS,B
'014803,BELL,'014,Y,TEMPLE EDUCATION CENTER,1,'12,U,D
'014909,BELL,'014,N,TEMPLE ISD,L,'12,,B
'210904,SHELBY,'210,N,TENAHA ISD,R,'07,V,B
'022004,BREWSTER,'022,N,TERLINGUA CSD,R,'18,RJWS,B
'222901,TERRELL,'222,N,TERRELL COUNTY ISD,R,'18,REW,
'129906,KAUFMAN,'129,N,TERRELL ISD,A,'10,,
